name,gauss_notation
10_118,"{-1, 2, -3, 4, -5, 1, -6, 3, -7, 8, -4, 9, -10, 6, -2, 7, -8, 5, -9, 10}"
11a_4,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -5, 6, -9, 10, -11, 7, -8, 11, -10, 9}"
11a_53,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 7, -8, 9, -10, 4, -11, 6, -7, 8, -9, 10, -5, 11}"
11a_64,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 6, -7, 8, -9, 10, -11, 4, -5, 11, -10, 7, -8, 9}"
11a_110,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -10, 4, -11, 6, -5, 11, -7, 10, -9, 8}"
11a_177,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 4, -11, 6, -7, 8, -9, 11, -5, 10}"
11a_192,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -9, 4, -10, 11, -7, 6, -5, 8, -11, 10}"
11a_257,"{-1, 2, -3, 4, -5, 1, -2, 3, -6, 7, -8, 9, -10, 5, -4, 6, -11, 8, -9, 10, -7, 11}"
11a_299,"{-1, 2, -3, 4, -5, 1, -2, 6, -7, 3, -8, 9, -10, 11, -4, 7, -6, 5, -11, 10, -9, 8}"
11n_174,"{-1, 2, 3, -4, -5, 1, -6, 7, -8, -3, 4, 9, -10, 6, -2, 5, -11, 10, -7, 8, -9, 11}"
12a_0088,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 5, -4, 10, -8, 11, -6, 12, -10, 9, -11, 7, -12}"
12a_0254,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 11, -12, 5, -6, 7, -8, 12, -11, 10, -9}"
12a_0371,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 12, -4, 7, -6, 5, -8, 9, -10, 11, -12}"
12a_0626,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -6, 7, -11, 9, -4, 12, -10, 11, -8, 5, -12}"
12a_0651,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -10, 11, -12, 9, -4, 5, -6, 7, -8, 12, -11}"
12a_0703,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -4, 9, -10, 11, -3, 2, -12, 10, -6, 7, -11, 12, -9, 5, -8}"
12a_0763,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 12, -3, 2, -12, 11, -4, 5, -6, 9, -8, 7, -10}"
12a_1031,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -3, 2, -5, 10, -11, 12, -6, 7, -8, 9, -10, 11, -12}"
12a_1127,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -5, 4, -3, 2, -10, 11, -12, 9, -8, 7, -6, 12, -11}"
12a_1140,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 12, -3, 4, -5, 2, -6, 11, -10, 9, -8, 7, -12}"
12a_1240,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -10, 11, -12, 6, -5, 4, -8, 2, -9, 10, -11, 12, -7}"
12n_0026,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, -7, 8, -9, 6, -5, 10, -11, 9, -12, 7, -10, 11, -8, 12}"
12n_0032,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, -7, 8, -9, 6, -5, 10, -8, 11, -12, 9, -10, 7, -11, 12}"
12n_0072,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, 8, 4, -5, -6, 9, -10, 11, -8, 7, -11, 12, -9, 10, -12}"
12n_0117,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, -5, 4, 8, -9, 10, -11, 12, -6, 7, -8, 11, -10, 9, -12}"
12n_0180,"{1, -2, 3, -1, 4, -5, 2, -3, -6, 7, -8, -9, 10, -4, 5, 8, -7, 6, 11, -12, 9, -10, 12, -11}"
12n_0455,"{1, -2, 3, -1, -4, 5, -6, 7, 2, -3, 8, -9, -7, 6, -5, 4, 10, -11, 12, -8, 9, -10, 11, -12}"
12n_0516,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 7, -6, -10, 11, 5, -4, 12, -8, 9, 10, -11, -12}"
12n_0531,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, -8, 9, 7, -6, 10, -11, -9, 8, 12, -4, 5, -10, 11, -12}"
12n_0557,"{1, -2, 3, -1, -4, 5, 6, -7, 8, -9, 2, -3, 7, -6, -10, 4, 11, -12, 9, -8, 12, -11, -5, 10}"
12n_0633,"{1, -2, 3, -1, -4, 5, -6, 7, -8, 4, -9, 10, -11, -3, 2, 8, -7, 11, -12, 9, -5, 6, -10, 12}"
12n_0686,"{1, -2, 3, -4, 5, -1, 6, -3, 7, -8, 9, -5, -10, 11, -12, -6, 2, -7, 8, -9, 4, 12, -11, 10}"
12n_0766,"{1, -2, 3, 4, -5, -1, 6, -7, 8, -3, 2, -9, 10, -6, 11, 5, -4, -12, 7, -10, 9, -8, 12, -11}"
12n_0796,"{1, -2, -3, 4, 5, -1, 6, -7, 8, 3, -4, -9, 10, -11, 7, -6, 12, -5, 2, -8, 9, -10, 11, -12}"
