name,gauss_notation
10_45,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 6, -10, 8, -7, 10, -5, 9}"
10_92,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -7, 8, -5, 4, -9, 10, -8, 6, -3, 9, -10}"
11a_40,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -10, 4, -5, 10, -11, 6, -7, 8, -9, 11}"
11a_143,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -9, 10, -11, 4, -7, 6, -5, 9, -10, 11}"
11a_153,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -7, 6, -8, 9, -10, 11, -5, 4, -11, 8, -9, 10}"
11a_180,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 4, -5, 6, -11, 8, -9, 10, -7, 11}"
11a_224,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 11, -9, 8, -7, 4, -5, 6, -11, 10}"
11a_330,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 3, -10, 11, -7, 8, -9, 5, -2, 10, -11, 6}"
11a_337,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 11, -4, 3, -2, 5, -11, 6, -9, 8, -7, 10}"
11n_35,"{-1, 2, -3, 1, 4, -5, -2, 3, -6, 7, -8, -4, 5, 9, -10, 6, -11, 8, -9, 10, -7, 11}"
11n_43,"{-1, 2, -3, 1, 4, -5, -2, 3, -6, 7, -8, -4, 5, 9, -7, 10, -11, 6, -9, 8, -10, 11}"
12a_0056,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 5, -4, 8, -9, 10, -11, 12, -6, 7, -12, 11, -10, 9, -8}"
12a_0496,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -4, 10, -6, 11, -8, 12, -10, 5, -11, 7, -12}"
12a_0690,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -10, 9, -8, 11, -12, 7, -6, 5, -4, 12, -11}"
12a_0717,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 12, -4, 5, -6, 7, -8, 11, -10, 9, -12}"
12a_0774,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 11, -10, 12, -4, 9, -8, 7, -6, 5, -12}"
12a_0826,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 8, -9, 4, -5, 10, -11, 12, -6, 7, -8, 9, -12, 11, -10}"
12a_0850,"{1, -2, 3, -4, 5, -1, 6, -3, 4, -7, 8, -9, 10, -11, 12, -5, 2, -6, 7, -8, 9, -10, 11, -12}"
12a_0881,"{1, -2, 3, -4, 5, -1, 6, -7, 4, -3, 2, -5, 8, -9, 10, -11, 12, -6, 7, -8, 9, -10, 11, -12}"
12a_1061,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -8, 9, -3, 10, -11, 12, -5, 8, -9, 4, -10, 7, -6, 11, -12}"
12a_1079,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 4, -11, 9, -8, 12, -5, 2, -6, 7, -10, 11, -12}"
12a_1189,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -10, 2, -6, 11, -12, 7, -3, 10, -5, 9, -8, 12, -11}"
12n_0014,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, -7, 8, -5, 6, -9, 10, -11, 7, -8, 9, -12, 11, -10, 12}"
12n_0155,"{1, -2, 3, -1, 4, -5, 2, -3, -6, 7, -8, 9, -10, -4, 5, 6, -7, 8, -11, 12, -9, 10, -12, 11}"
12n_0186,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, 8, -9, -5, 4, 10, -11, 9, -6, 7, -8, 12, -10, 11, -12}"
12n_0252,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -8, 9, -10, 11, -5, 4, -9, 8, -12, 6, -11, 10, -7, 12}"
12n_0262,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -8, 9, -10, 11, -5, 4, -12, 10, -7, 6, -11, 12, -9, 8}"
12n_0298,"{1, -2, 3, -1, 4, 5, -6, 7, -8, -3, 2, -4, -9, 10, -7, 6, -11, 9, -12, 8, -5, 11, -10, 12}"
12n_0492,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, -10, 11, -12, -4, 7, -8, 9, -6, 5, 10, -11, 12}"
12n_0515,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, -8, 9, 7, -6, 10, -11, 5, -4, 12, 8, -9, -10, 11, -12}"
12n_0658,"{1, -2, 3, -1, -4, 5, -6, 7, -8, 9, -10, 11, 2, -3, -9, 12, -7, 4, -11, 10, -5, 6, -12, 8}"
12n_0677,"{1, -2, 3, -4, 5, -1, 2, -3, -6, 7, 4, -5, 8, -9, 10, -11, -7, 6, 12, -8, 11, -10, 9, -12}"
12n_0683,"{1, -2, 3, 4, -5, -1, 6, -3, -7, 8, -9, 5, 10, -11, 12, -6, 2, 7, -8, 9, -4, -10, 11, -12}"
12n_0715,"{1, -2, -3, 4, 5, -1, 6, -7, 8, 3, -9, -5, 10, -11, 12, -6, 2, 9, -4, -8, 7, -12, 11, -10}"
12n_0773,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, 9, -10, 11, -12, -5, 2, -8, 7, -6, -9, 10, -11, 12}"
12n_0789,"{1, 2, -3, -4, 5, -1, 6, -7, -2, 3, 8, -9, 7, -6, 10, -11, 4, -5, 12, -10, 9, -8, 11, -12}"
