name,gauss_notation
11a_233,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 4, -9, 10, -2, 3, -7, 11, -5, 9, -10, 6, -11, 8}"
12a_0080,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 5, -4, 9, -6, 10, -11, 12, -8, 7, -10, 11, -12}"
12a_0180,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -10, 11, -4, 5, -11, 12, -7, 10, -9, 8, -12}"
12a_0204,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -6, 10, -11, 12, -8, 7, -12, 11, -10, 5, -9}"
12a_0240,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -4, 5, -9, 10, -11, 12, -6, 7, -10, 11, -12, 9, -8}"
12a_0357,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 7, -6, 10, -4, 5, -10, 11, -12, 9, -8, 12, -11}"
12a_0522,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 9, -6, 11, -12, 7, -8, 12, -11, 5, -10}"
12a_0560,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -6, 5, -4, 9, -11, 12, -8, 7, -12, 11, -10}"
12a_0607,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 12, -4, 7, -8, 9, -10, 11, -6, 5, -12}"
12a_0671,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -10, 11, -6, 7, -8, 12, -4, 10, -11, 5, -12}"
12a_0834,"{1, -2, 3, -4, 5, -1, 6, -3, 4, -7, 8, -9, 10, -5, 2, -6, 11, -12, 9, -8, 7, -10, 12, -11}"
12a_0899,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -3, 8, -9, 4, -5, 10, -11, 12, -6, 7, -8, 9, -12, 11, -10}"
12a_0942,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -11, 12, -5, 2, -8, 11, -10, 9, -12, 7, -6}"
12a_1014,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 11, -12, 4, -6, 7, -8, 2, -9, 12, -11, 10, -5}"
12a_1245,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 4, -9, 10, -11, 12, -7, 6, -5, 2, -8, 11, -10, 9, -12}"
