name,gauss_notation
11a_284,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -4, 9, -10, 6, -2, 5, -11, 10, -7, 8, -9, 11}"
12a_0045,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 5, -4, 8, -9, 7, -6, 10, -11, 12, -8, 9, -10, 11, -12}"
12a_0061,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -4, 5, -8, 9, -10, 11, -12, 7, -6, 12, -9, 10, -11}"
12a_0065,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 5, -4, 8, -9, 10, -11, 12, -8, 9, -10, 7, -6, 11, -12}"
12a_0145,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -11, 5, -4, 12, -6, 11, -8, 9, -10, 7, -12}"
12a_0170,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -10, 5, -4, 11, -7, 12, -9, 8, -12, 10, -11}"
12a_0192,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -7, 8, -9, 10, -6, 11, -4, 12, -10, 9, -8, 7, -12, 5, -11}"
12a_0275,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -4, 7, -6, 5, -8, 11, -12, 9, -10, 12, -11}"
12a_0406,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -8, 9, -10, 7, -4, 11, -12, 5, -6, 12, -11, 10, -9}"
12a_0537,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 11, -10, 12, -6, 9, -8, 7, -12, 5, -11}"
12a_0624,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -6, 5, -11, 12, -4, 9, -8, 7, -10, 11, -12}"
12a_0678,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -10, 11, -8, 12, -6, 5, -4, 10, -11, 7, -12}"
12a_0820,"{1, -2, 3, -4, 5, -1, 6, -3, 7, -8, 9, -5, 10, -11, 12, -6, 2, -7, 8, -9, 4, -12, 11, -10}"
12a_0910,"{1, -2, 3, -4, 5, -1, 2, -6, 7, -3, 8, -9, 10, -11, 12, -5, 6, -7, 4, -8, 11, -10, 9, -12}"
