name,gauss_notation
9_21,"{-1, 2, -3, 4, -5, 6, -2, 7, -8, 9, -7, 5, -4, 3, -6, 1, -9, 8}"
9_22,"{1, -2, 3, -4, 5, -1, 6, -3, 2, -6, 7, -8, 9, -5, 4, -7, 8, -9}"
10_7,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -10, 2, -1, 10, -3, 8, -7, 6, -5, 4, -9}"
10_11,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 5, -4, 3, -2, 10, -7, 8, -9, 6}"
10_15,"{-1, 2, -3, 4, -2, 1, -5, 6, -7, 8, -9, 5, -10, 3, -4, 10, -6, 7, -8, 9}"
10_151,"{-1, 2, -3, 4, -5, 3, -6, 7, -8, 6, 9, -10, -7, 8, -2, 1, 10, -9, -4, 5}"
11a_59,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -10, 11, -5, 4, -11, 10, -9, 8, -7, 6}"
11a_91,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 10, -11, 6, -7, 11, -5, 8, -10, 9}"
11a_128,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 9, -5, 4, -9, 8, -10, 11, -7, 6, -11, 10}"
11a_261,"{-1, 2, -3, 4, -5, 1, -6, 3, -4, 7, -8, 9, -10, 5, -2, 6, -11, 8, -9, 10, -7, 11}"
11a_275,"{-1, 2, -3, 4, -5, 1, -6, 7, -2, 3, -8, 9, -4, 5, -10, 11, -9, 8, -7, 6, -11, 10}"
11a_292,"{-1, 2, -3, 4, -5, 1, -6, 7, -4, 3, -8, 9, -10, 11, -2, 5, -7, 8, -11, 10, -9, 6}"
11a_344,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 11, -4, 3, -7, 6, -2, 5, -11, 8, -9, 10}"
11n_3,"{-1, 2, -3, 1, -4, -5, 6, 3, -2, 4, 7, -8, 9, -6, 5, -7, 10, -11, 8, -9, 11, -10}"
11n_54,"{-1, 2, -3, 1, -4, 5, -2, 3, 6, -7, 8, -9, -5, 4, 10, -6, 11, -8, 9, -11, 7, -10}"
11n_128,"{-1, 2, -3, 1, 4, -5, 6, -7, 8, 3, -2, -9, 5, -6, 10, -8, 11, -4, 9, -10, 7, -11}"
11n_129,"{-1, 2, -3, 1, 4, -5, 6, -7, 8, 3, -2, -9, 10, -6, 7, -8, 11, -4, 9, -10, 5, -11}"
12a_0062,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -4, 5, -8, 9, -10, 11, -12, 7, -6, 12, -11, 10, -9}"
