Name,Dihedral Linking Numbers
10_86,"[[[9, 6, -10], [6, 0, -2], [-10, -2, 8]], [[9, 6, -10], [6, 0, -2], [-10, -2, 8]]]"
10_100,"[[[69/11, 10/11, -50/11], [10/11, -7/11, -20/11], [-50/11, -20/11, 23/11]], [[69/11, 10/11, -50/11], [10/11, -7/11, -20/11], [-50/11, -20/11, 23/11]]]"
10_101,"[[[-13/11, -62/11, 30/11], [-62/11, -8/11, -16/11], [30/11, -16/11, -54/11]], [[-13/11, -62/11, 30/11], [-62/11, -8/11, -16/11], [30/11, -16/11, -54/11]]]"
10_103,"[[[23/5, -2/5, -22/5], [-2/5, 3/5, -12/5], [-22/5, -12/5, 13/5]], [[23/5, -2/5, -22/5], [-2/5, 3/5, -12/5], [-22/5, -12/5, 13/5]], [[38/5, 18/5, -42/5], [18/5, -7/5, -12/5], [-42/5, -12/5, 23/5]], [[-117/5, -42/5, 98/5], [-42/5, -17/5, 28/5], [98/5, 28/5, -87/5]], [[23/5, -22/5, -2/5], [-22/5, 13/5, -12/5], [-2/5, -12/5, 3/5]], [[23/5, -22/5, -2/5], [-22/5, 13/5, -12/5], [-2/5, -12/5, 3/5]], [[38/5, -42/5, 18/5], [-42/5, 23/5, -12/5], [18/5, -12/5, -7/5]], [[38/5, 18/5, -42/5], [18/5, -7/5, -12/5], [-42/5, -12/5, 23/5]], [[23/5, -22/5, -2/5], [-22/5, 13/5, -12/5], [-2/5, -12/5, 3/5]], [[-117/5, -42/5, 98/5], [-42/5, -17/5, 28/5], [98/5, 28/5, -87/5]], [[38/5, 18/5, -42/5], [18/5, -7/5, -12/5], [-42/5, -12/5, 23/5]], [[23/5, -22/5, -2/5], [-22/5, 13/5, -12/5], [-2/5, -12/5, 3/5]]]"
10_106,"[[[-24, -6, 18], [-6, -2, 6], [18, 6, -14]], [[-24, -6, 18], [-6, -2, 6], [18, 6, -14]]]"
10_109,"[[[0, -4, 4], [-4, 2, 0], [4, 0, -2]], [[0, -4, 4], [-4, 2, 0], [4, 0, -2]]]"
10_116,"[[[68/11, -26/11, -30/11], [-26/11, 30/11, -28/11], [-30/11, -28/11, 32/11]], [[68/11, -26/11, -30/11], [-26/11, 30/11, -28/11], [-30/11, -28/11, 32/11]]]"
10_120,"[[[-24/11, -14/11, -18/11], [-14/11, -32/11, -16/11], [-18/11, -16/11, -30/11]], [[-24/11, -14/11, -18/11], [-14/11, -32/11, -16/11], [-18/11, -16/11, -30/11]]]"
10_121,"[[[-107/19, -62/19, 106/19], [-62/19, -29/19, 22/19], [106/19, 22/19, -113/19]], [[-107/19, -62/19, 106/19], [-62/19, -29/19, 22/19], [106/19, 22/19, -113/19]]]"
10_122,"[[[0, 4, -4], [4, -1, 0], [-4, 0, 3]], [[0, 4, -4], [4, -1, 0], [-4, 0, 3]]]"
10_129,"[[[0, -2, 2], [-2, 1, 0], [2, 0, -1]], [[0, -2, 2], [-2, 1, 0], [2, 0, -1]]]"
10_132,"[[[20, 6, -14], [6, 3, -4], [-14, -4, 13]], [[20, 6, -14], [6, 3, -4], [-14, -4, 13]]]"
10_136,"[[[0, -4, 4], [-4, 3, 0], [4, 0, -1]], [[0, -4, 4], [-4, 3, 0], [4, 0, -1]]]"
10_137,"[[[0, 0, 0], [0, 1, 0], [0, 0, 1]], [[0, 0, 0], [0, 1, 0], [0, 0, 1]]]"
10_138,"[[[0, -4, 4], [-4, 3, 0], [4, 0, -1]], [[0, 4, -4], [4, -1, 0], [-4, 0, 3]]]"
10_142,"[[[-14, 14, -2], [14, -8, 6], [-2, 6, 0]], [[-14, 14, -2], [14, -8, 6], [-2, 6, 0]]]"
10_155,"[[[-8/5, 2/5, 2/5], [2/5, -8/5, 2/5], [2/5, 2/5, -8/5]], [[-8/5, 2/5, 2/5], [2/5, -8/5, 2/5], [2/5, 2/5, -8/5]], [[-33/5, 22/5, -18/5], [22/5, -18/5, 2/5], [-18/5, 2/5, 2/5]], [[-23/5, -18/5, 22/5], [-18/5, 2/5, 2/5], [22/5, 2/5, -18/5]], [[-8/5, 2/5, 2/5], [2/5, -8/5, 2/5], [2/5, 2/5, -8/5]], [[-13/5, 2/5, 2/5], [2/5, -8/5, 2/5], [2/5, 2/5, -8/5]], [[-13/5, 2/5, 2/5], [2/5, -8/5, 2/5], [2/5, 2/5, -8/5]], [[-33/5, -18/5, 22/5], [-18/5, 2/5, 2/5], [22/5, 2/5, -18/5]], [[-13/5, 2/5, 2/5], [2/5, -8/5, 2/5], [2/5, 2/5, -8/5]], [[-23/5, -18/5, 22/5], [-18/5, 2/5, 2/5], [22/5, 2/5, -18/5]], [[-13/5, 2/5, 2/5], [2/5, -8/5, 2/5], [2/5, 2/5, -8/5]], [[-8/5, 2/5, 2/5], [2/5, -8/5, 2/5], [2/5, 2/5, -8/5]]]"
