name,gauss_notation
12a_0191,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -7, 8, -9, 10, -6, 11, -4, 12, -8, 9, -12, 7, -10, 5, -11}"
12a_0487,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -8, 11, -12, 5, -10, 9, -4, 12, -6, 7, -11}"
12a_0659,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 5, -8, 9, -4, 12, -10, 7, -6, 11, -12}"
12a_0754,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 9, -6, 12, -4, 11, -10, 5, -12, 7, -8}"
12a_1070,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 10, -8, 11, -6, 12, -5, 4, -10, 9, -11, 7, -12}"
