name,gauss_notation
12a_0131,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -4, 5, -10, 11, -9, 12, -7, 10, -11, 8, -12}"
12a_0133,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -4, 5, -10, 8, -11, 12, -9, 10, -7, 11, -12}"
12a_0225,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 11, -6, 7, -11, 5, -8, 12, -9, 10, -12}"
12a_0285,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -4, 11, -6, 12, -8, 7, -12, 9, -10, 5, -11}"
12a_0293,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 7, -4, 10, -11, 5, -6, 12, -8, 9, -12, 11, -10}"
12a_0324,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -4, 5, -11, 9, -8, 12, -6, 7, -12, 11, -10}"
12a_0892,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, 7, -10, 11, -12, 2, -9, 4, -8, 12, -11, 10, -6}"
12a_0933,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -8, 2, -5, 11, -12, 9, -10, 7, -6, 12, -11}"
12a_0995,"{1, -2, 3, -4, 5, -1, 6, -7, 4, -3, 8, -9, 10, -6, 11, -12, 7, -8, 9, -10, 2, -5, 12, -11}"
12a_1054,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -3, 10, -11, 2, -5, 12, -6, 11, -10, 7, -8, 9, -12}"
12a_1192,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -8, 4, -9, 10, -11, 12, -6, 7, -3, 8, -5, 11, -10, 9, -12}"
