name,gauss_notation
10_117,"{1, -2, 3, -4, 5, -6, 7, -3, 8, -9, 4, -10, 6, -1, 2, -7, 10, -5, 9, -8}"
11a_12,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -9, 10, -11, 6, -5, 11, -10, 7, -8, 9}"
11a_23,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 4, -5, 8, -9, 10, -11, 6, -7, 11, -10, 9}"
11a_61,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 6, -7, 8, -9, 10, -5, 4, -11, 7, -10, 9, -8, 11}"
11a_68,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 7, -8, 9, -10, 6, -11, 4, -7, 8, -9, 10, -5, 11}"
11a_92,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 10, -11, 6, -7, 9, -10, 11, -5, 8}"
11a_111,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -10, 4, -11, 6, -7, 11, -5, 10, -9, 8}"
11a_141,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -7, 9, -10, 4, -11, 6, -9, 10, -5, 11}"
12a_0442,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 7, -6, 5, -4, 12, -8, 9, -10, 11, -12}"
12a_0454,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -8, 9, -10, 11, -12, 7, -4, 5, -6, 12, -11, 10, -9}"
12a_0551,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 11, -12, 9, -8, 7, -6, 5, -10, 12, -11}"
12a_0705,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -4, 9, -10, 11, -3, 2, -8, 5, -9, 12, -11, 7, -6, 10, -12}"
12a_0726,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 12, -3, 2, -4, 11, -6, 7, -8, 9, -10, 5, -12}"
12a_0893,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, 10, -11, 4, -9, 2, -12, 7, -10, 11, -8, 12, -6}"
12a_0928,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 2, -9, 7, -10, 11, -5, 4, -12, 10, -6, 9, -8, 12, -11}"
12a_0984,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -11, 12, -6, 7, -8, 2, -5, 9, -10, 11, -12}"
12a_1135,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 12, -3, 4, -5, 2, -6, 7, -8, 11, -10, 9, -12}"
12a_1163,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 12, -5, 4, -3, 2, -12, 11, -6, 9, -8, 7, -10}"
12n_0086,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, -5, 4, 8, -9, 7, -6, 10, -11, 9, -8, 12, -10, 11, -12}"
12n_0131,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, -5, 4, 8, -9, 10, -8, 11, -12, 9, -10, 7, -6, 12, -11}"
12n_0208,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -8, 9, -5, 4, -10, 11, -12, 6, -9, 10, -11, 8, -7, 12}"
12n_0212,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -8, 9, -5, 4, -10, 8, -7, 11, -12, 6, -9, 10, -11, 12}"
12n_0337,"{1, -2, 3, -1, 4, -5, 6, 7, -8, -3, 2, -6, 9, -4, 5, -9, -10, 11, -12, 8, -7, 12, -11, 10}"
12n_0350,"{1, -2, 3, -1, -4, 5, -6, -7, 8, -3, 2, -9, 10, 4, -5, 6, 11, -8, 12, -10, 9, -12, 7, -11}"
12n_0353,"{1, -2, 3, -1, -4, 5, 6, -7, 8, -3, 2, -9, 10, 4, -11, -6, 12, -8, 7, -12, 9, -10, -5, 11}"
12n_0415,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 7, -4, -10, 11, -12, -8, 9, -6, 5, 12, -11, 10}"
12n_0646,"{1, -2, 3, -1, -4, 5, -6, 7, -8, 9, -10, 11, 2, -3, -9, 6, -12, 4, -11, 10, -5, 12, -7, 8}"
12n_0758,"{1, -2, 3, 4, -5, -1, 6, -7, 2, -3, 8, -9, 10, 5, -4, -11, 12, -8, 7, -6, 9, -12, 11, -10}"
12n_0771,"{1, 2, -3, -4, 5, -1, 6, -7, -2, 3, 8, -9, 10, -11, 4, -5, 12, -10, 9, -6, 7, -8, 11, -12}"
