name,braid_notation
9_32,"{-1,-1,2,-1,2,-1,-3,2,-3}"
10_23,"{1,1,-2,1,-2,-2,-2,-2,-3,2,-3}"
10_38,"{1,1,1,2,-1,2,2,3,-2,-4,3,-4}"
10_49,"{1,1,1,1,-2,1,3,2,2,2,3}"
10_52,"{1,1,1,-2,1,1,-2,-2,-3,2,-3}"
11a_65,"{-1,-1,-1,-2,1,-2,-3,2,4,-3,-5,4,-5}"
11a_73,"{-1,2,-1,2,-1,2,-1,2,-3,2,-3}"
11a_142,"{-1,-1,-1,-1,2,-1,-1,-1,-3,2,-3}"
11a_166,"{1,1,-2,1,-2,-3,2,4,-3,4,5,-4,5}"
11a_336,"{1,1,1,1,1,1,2,-1,2,2,3,-2,3}"
11n_52,"{1,1,1,2,-1,-1,2,2,-3,2,-3}"
11n_124,"{1,1,2,-1,3,-2,1,-4,3,-2,3,-4}"
11n_166,"{-1,-1,2,-1,2,3,2,-1,2,2,3}"
12a_0035,"{-1,2,-1,2,3,3,3,4,-3,4,3,2,2,-3}"
12a_0057,"{1,-2,-3,1,-3,-4,-2,-4,5,3,5,-4,5}"
12a_0264,"{-1,2,-3,4,-1,2,-3,2,4,-3,2,4}"
12a_0331,"{-1,2,-3,-4,-1,-2,-4,3,-2,-4,-4,-4,3,3}"
12a_0491,"{-1,2,-3,4,-1,-3,4,-2,-5,4,4,3,2,-4,-5}"
12a_0515,"{1,-2,3,4,2,-3,4,-3,2,-3,1,-3,1,-2}"
12a_0579,"{1,-2,3,-4,1,-4,1,-2,-4,3,-4,3}"
12a_0617,"{-1,2,2,3,-1,3,-1,2,2,-1,2,-3,-1}"
12a_0745,"{-1,2,-1,2,-3,2,3,4,5,5,4,3,2,-4,-5}"
12a_0777,"{-1,2,-3,4,-1,-2,4,3,-2,3,3,3,3,4}"
12a_0853,"{1,-2,3,1,-2,-2,3,-4,-4,3,-4,3,-4,2,3,2}"
12a_0866,"{1,-2,-3,1,-3,-2,1,-2,-2,3,-2,1,-2}"
12a_0931,"{1,-2,1,2,-3,4,-2,4,3,3,-2,3,-4,3,3,3}"
12a_0951,"{1,-2,-3,4,1,-2,-2,-3,-3,4,-3,2,-3,4}"
12a_0974,"{1,1,2,-1,2,3,-2,4,3,3,4,-5,4,-3,4,5,5}"
12a_1016,"{1,-2,3,4,-2,-3,4,3,-2,3,-1,3,-1,-2}"
12a_1128,"{1,-2,-2,-2,-2,-2,-2,1,1,1,1,-2}"
12a_1184,"{-1,2,-1,2,-3,2,-1,2,2,2,2,3,3}"
12a_1239,"{-1,-1,2,2,-1,2,3,-1,3,2,-3,2,-1}"
12a_1255,"{1,-2,1,1,1,-2,1,-2,1,1,-2,1}"
12n_0042,"{-1,2,3,-1,-2,3,2,4,-3,4,4,4}"
12n_0047,"{-1,2,-1,2,3,-4,-5,2,2,3,4,-5,-4}"
12n_0071,"{1,2,2,3,-4,1,-4,1,3,-2,-2,-3,-4,2}"
12n_0091,"{1,2,2,1,1,1,-2,3,2,2,1,3,3}"
12n_0136,"{1,1,2,2,1,1,-2,3,2,2,1,3,3}"
12n_0193,"{-1,-1,-1,-2,-3,1,-3,1,-2,3,-2,-1,2}"
12n_0241,"{-1,-1,-1,2,2,3,3,-2,-2,-2,-1,2,3}"
12n_0343,"{1,-2,1,2,-3,-4,3,-4,-3,2,2,3,3,3}"
12n_0381,"{1,-2,3,4,1,2,4,-3,2,-3,4,3}"
12n_0390,"{-1,2,3,-1,3,2,2,-1,2,-3,-2,1,-2}"
12n_0506,"{-1,2,3,-1,-2,3,-4,3,3,-2,3,-4}"
12n_0607,"{1,-2,1,2,-3,2,-3,-2,3,-2,-3,-3,-3}"
12n_0662,"{-1,2,-1,-2,-3,4,2,2,-3,-3,2,2,3,4}"
12n_0797,"{-1,2,-3,2,3,-2,4,-3,1,4,3,1,2,-3,2,3}"
