Name,Dihedral Linking Numbers
11n_122,[]
11n_123,[]
11n_125,[]
11n_126,[]
11n_136,"[[['x', 'x'], ['x', 'x']]]"
11n_137,[]
11n_138,[]
11n_139,"[[['x', 'x'], ['x', 'x']]]"
11n_140,[]
11n_141,[]
11n_142,[]
11n_143,"[[['x', 'x'], ['x', 'x']]]"
11n_145,[]
11n_146,[]
11n_148,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
11n_149,"[[[0, -2], [-2, -1]]]"
11n_150,"[[[0, -2], [-2, -1]]]"
11n_153,"[[['x', 'x'], ['x', 'x']]]"
11n_155,"[[['x', 'x'], ['x', 'x']]]"
11n_158,"[[['x', 'x'], ['x', 'x']]]"
11n_161,"[[['x', 'x'], ['x', 'x']]]"
11n_164,[]
11n_167,[]
11n_168,[]
11n_170,"[[['x', 'x'], ['x', 'x']]]"
11n_173,[]
11n_176,[]
11n_181,[]
11n_182,[]
11n_183,[]
11n_184,[]
11n_185,"[[['x', 'x'], ['x', 'x']]]"
12a_0001,[]
12a_0002,"[[['x', 'x'], ['x', 'x']]]"
12a_0010,"[[['x', 'x'], ['x', 'x']]]"
12a_0011,[]
12a_0016,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12a_0023,"[[['x', 'x'], ['x', 'x']]]"
12a_0029,"[[['x', 'x'], ['x', 'x']]]"
12a_0030,[]
12a_0033,[]
12a_0035,"[[['x', 'x'], ['x', 'x']]]"
12a_0036,"[[['x', 'x'], ['x', 'x']]]"
12a_0048,"[[['x', 'x'], ['x', 'x']]]"
12a_0049,[]
12a_0051,[]
12a_0057,[]
12a_0060,"[[['x', 'x'], ['x', 'x']]]"
12a_0062,[]
12a_0066,[]
12a_0067,[]
12a_0071,[]
12a_0074,"[[['x', 'x'], ['x', 'x']]]"
12a_0077,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12a_0079,"[[['x', 'x'], ['x', 'x']]]"
12a_0081,"[[['x', 'x'], ['x', 'x']]]"
12a_0086,[]
12a_0088,[]
12a_0095,"[[['x', 'x'], ['x', 'x']]]"
12a_0097,[]
12a_0100,[]
12a_0103,[]
12a_0113,"[[['x', 'x'], ['x', 'x']]]"
12a_0114,[]
12a_0116,[]
12a_0117,[]
12a_0119,[]
12a_0121,[]
12a_0122,[]
12a_0127,"[[['x', 'x'], ['x', 'x']]]"
12a_0130,"[[['x', 'x'], ['x', 'x']]]"
12a_0136,"[[['x', 'x'], ['x', 'x']]]"
12a_0150,[]
12a_0151,"[[['x', 'x'], ['x', 'x']]]"
12a_0155,"[[['x', 'x'], ['x', 'x']]]"
12a_0156,[]
12a_0157,"[[['x', 'x'], ['x', 'x']]]"
12a_0163,[]
12a_0164,[]
12a_0165,[]
12a_0166,[]
12a_0167,[]
12a_0168,[]
12a_0172,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12a_0175,"[[['x', 'x'], ['x', 'x']]]"
12a_0177,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12a_0179,"[[['x', 'x'], ['x', 'x']]]"
12a_0181,"[[['x', 'x'], ['x', 'x']]]"
12a_0182,"[[['x', 'x'], ['x', 'x']]]"
12a_0189,"[[['x', 'x'], ['x', 'x']]]"
12a_0193,"[[['x', 'x'], ['x', 'x']]]"
12a_0195,"[[['x', 'x'], ['x', 'x']]]"
12a_0197,"[[['x', 'x'], ['x', 'x']]]"
12a_0203,"[[['x', 'x'], ['x', 'x']]]"
12a_0206,"[[['x', 'x'], ['x', 'x']]]"
12a_0207,"[[['x', 'x'], ['x', 'x']]]"
12a_0208,"[[['x', 'x'], ['x', 'x']]]"
12a_0209,[]
12a_0210,"[[[0, 2], [2, 3]]]"
12a_0212,[]
12a_0215,"[[['x', 'x'], ['x', 'x']]]"
12a_0223,"[[['x', 'x'], ['x', 'x']]]"
12a_0224,[]
12a_0229,"[[['x', 'x'], ['x', 'x']]]"
12a_0231,"[[['x', 'x'], ['x', 'x']]]"
12a_0233,"[[['x', 'x'], ['x', 'x']]]"
12a_0234,[]
12a_0236,"[[['x', 'x'], ['x', 'x']]]"
12a_0239,"[[[0, 2], [2, 3]]]"
12a_0244,[]
12a_0245,[]
12a_0246,[]
12a_0251,[]
12a_0256,"[[['x', 'x'], ['x', 'x']]]"
12a_0260,"[[['x', 'x'], ['x', 'x']]]"
12a_0265,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12a_0269,"[[['x', 'x'], ['x', 'x']]]"
12a_0270,"[[['x', 'x'], ['x', 'x']]]"
12a_0280,"[[['x', 'x'], ['x', 'x']]]"
12a_0281,[]
12a_0287,"[[['x', 'x'], ['x', 'x']]]"
12a_0288,"[[['x', 'x'], ['x', 'x']]]"
12a_0290,"[[['x', 'x'], ['x', 'x']]]"
12a_0291,"[[[0, 2], [2, 1]]]"
12a_0292,[]
12a_0295,[]
12a_0296,"[[['x', 'x'], ['x', 'x']]]"
12a_0297,[]
12a_0298,[]
12a_0302,[]
12a_0303,[]
12a_0306,[]
12a_0308,[]
12a_0311,"[[['x', 'x'], ['x', 'x']]]"
12a_0312,"[[['x', 'x'], ['x', 'x']]]"
12a_0313,[]
12a_0319,[]
12a_0321,"[[['x', 'x'], ['x', 'x']]]"
12a_0325,[]
12a_0329,"[[['x', 'x'], ['x', 'x']]]"
12a_0331,[]
12a_0332,[]
12a_0334,[]
12a_0336,"[[['x', 'x'], ['x', 'x']]]"
12a_0342,"[[['x', 'x'], ['x', 'x']]]"
12a_0345,[]
12a_0346,[]
12a_0347,[]
12a_0348,"[[['x', 'x'], ['x', 'x']]]"
12a_0358,[]
12a_0360,"[[['x', 'x'], ['x', 'x']]]"
12a_0362,"[[['x', 'x'], ['x', 'x']]]"
12a_0373,[]
12a_0374,"[[['x', 'x'], ['x', 'x']]]"
12a_0375,[]
12a_0376,[]
12a_0377,"[[['x', 'x'], ['x', 'x']]]"
12a_0386,"[[['x', 'x'], ['x', 'x']]]"
12a_0389,"[[['x', 'x'], ['x', 'x']]]"
12a_0390,"[[['x', 'x'], ['x', 'x']]]"
12a_0392,[]
12a_0393,[]
12a_0395,[]
12a_0396,[]
12a_0401,[]
12a_0404,"[[['x', 'x'], ['x', 'x']]]"
12a_0408,[]
12a_0409,"[[['x', 'x'], ['x', 'x']]]"
12a_0411,[]
12a_0413,[]
12a_0414,"[[['x', 'x'], ['x', 'x']]]"
12a_0415,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
12a_0416,"[[['x', 'x'], ['x', 'x']]]"
12a_0419,"[[['x', 'x'], ['x', 'x']]]"
12a_0420,[]
12a_0422,[]
12a_0425,[]
12a_0426,[]
12a_0427,"[[['x', 'x'], ['x', 'x']]]"
12a_0428,[]
12a_0429,[]
12a_0433,[]
12a_0434,[]
12a_0435,[]
12a_0439,[]
12a_0444,[]
12a_0445,[]
12a_0446,[]
12a_0448,"[[['x', 'x'], ['x', 'x']]]"
12a_0450,"[[['x', 'x'], ['x', 'x']]]"
12a_0451,"[[['x', 'x'], ['x', 'x']]]"
12a_0456,"[[['x', 'x'], ['x', 'x']]]"
12a_0459,[]
