name,gauss_notation
9_32,"{-1, 2, -3, 4, -5, 6, -2, 7, -4, 5, -8, 9, -6, 3, -7, 1, -9, 8}"
10_23,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 1, -4, 3, -2, 7, -10, 5, -6, 10, -8, 9}"
10_38,"{-1, 2, -3, 4, -5, 6, -7, 8, -6, 5, -4, 9, -10, 1, -2, 10, -8, 7, -9, 3}"
10_49,"{1, -2, 3, -4, 5, -1, 2, -5, 6, -7, 8, -9, 10, -6, 4, -3, 7, -8, 9, -10}"
10_52,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -5, 10, -1, 8, -7, 6, -9, 2, -3, 4, -10}"
11a_65,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 6, -7, 8, -9, 10, -11, 4, -5, 11, -10, 9, -8, 7}"
11a_73,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 6, -10, 8, -11, 9, -5, 10, -7, 11}"
11a_142,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -9, 10, -11, 4, -5, 6, -7, 9, -10, 11}"
11a_166,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -10, 11, -7, 6, -5, 4, -11, 10, -9, 8}"
11a_336,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 11, -4, 3, -2, 5, -11, 6, -7, 8, -9, 10}"
11n_52,"{-1, 2, -3, 1, 4, -5, -2, 3, -6, 7, -8, 9, 5, -4, -10, 6, -11, 8, -7, 11, -9, 10}"
11n_124,"{-1, 2, -3, 1, -4, 5, 6, -7, 8, 3, -2, -9, 7, -6, -10, 4, -11, -8, 9, 10, -5, 11}"
11n_166,"{-1, 2, -3, -4, 5, 1, -6, 7, -2, 3, -8, 9, -10, -5, 4, 11, -9, 6, -7, 8, -11, 10}"
12a_0035,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 11, -12, 5, -6, 12, -7, 10, -9, 8, -11}"
12a_0057,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -4, 5, -8, 9, -10, 7, -6, 11, -12, 10, -9, 12, -11}"
12a_0264,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 7, -11, 5, -9, 12, -8, 11, -6, 10, -12}"
12a_0331,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 5, -4, 9, -8, 10, -11, 12, -6, 7, -10, 11, -12}"
12a_0491,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -8, 7, -9, 10, -6, 11, -12, 5, -10, 9, -4, 12, -11}"
12a_0515,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -4, 11, -6, 5, -11, 12, -8, 7, -12, 9, -10}"
12a_0579,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 9, -4, 12, -6, 7, -8, 5, -12, 11, -10}"
12a_0617,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -10, 11, -4, 5, -12, 7, -8, 10, -11, 12, -6}"
12a_0745,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 12, -3, 2, -4, 11, -10, 9, -8, 7, -6, 5, -12}"
12a_0777,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 9, -12, 5, -4, 11, -10, 12, -6, 7, -8}"
12a_0853,"{1, -2, 3, -4, 5, -1, 6, -3, 4, -7, 8, -9, 10, -11, 12, -5, 2, -6, 9, -8, 7, -12, 11, -10}"
12a_0866,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, 10, -6, 7, -11, 12, -8, 2, -9, 4, -12, 11, -10}"
12a_0931,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -3, 8, -9, 10, -11, 12, -5, 4, -10, 9, -8, 7, -6, 11, -12}"
12a_0951,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -6, 11, -12, 2, -5, 9, -8, 12, -11, 7, -10}"
12a_0974,"{1, -2, 3, -4, 5, -1, 6, -7, 4, -3, 8, -6, 9, -10, 11, -12, 7, -8, 2, -5, 12, -11, 10, -9}"
12a_1016,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 11, -12, 2, -8, 7, -6, 4, -9, 12, -11, 10, -5}"
12a_1128,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 2, -3, 4, -5, 12, -6, 7, -8, 9, -10, 11, -12}"
12a_1184,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -8, 4, -9, 10, -11, 12, -5, 8, -3, 7, -6, 9, -10, 11, -12}"
12a_1239,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -10, 11, -12, 4, -5, 6, -8, 2, -9, 12, -11, 10, -7}"
12a_1255,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -3, 11, -5, 6, -12, 2, -8, 9, -10, 4, -11, 12, -7}"
12n_0042,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, -7, 8, -9, 10, -11, 6, -5, 7, -12, 9, -10, 11, -8, 12}"
12n_0047,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, 7, -8, 9, -10, 11, 6, -5, -7, 12, -11, 10, -9, 8, -12}"
12n_0071,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -8, 4, -5, 6, -9, 10, -11, 8, -7, 11, -12, 9, -10, 12}"
12n_0091,"{1, -2, 3, -1, 4, -5, 2, -3, -6, 7, 5, -4, -8, 9, -7, 6, -10, 11, -12, 8, -9, 10, -11, 12}"
12n_0136,"{1, -2, 3, -1, 4, -5, 2, -3, -6, 7, 5, -4, -8, 9, -10, 11, -12, 8, -9, 10, -7, 6, -11, 12}"
12n_0193,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -8, 9, -5, 4, -10, 11, -12, 6, -9, 8, -7, 10, -11, 12}"
12n_0241,"{1, -2, 3, -1, 4, -5, 2, -3, -6, 7, -8, 9, -10, 11, 5, -4, -12, 6, -11, 8, -9, 10, -7, 12}"
12n_0343,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, -8, 9, -10, -4, 7, -6, 5, 8, -11, 12, -9, 10, -12, 11}"
