name,braid_notation
10_117,"{-1,-1,-2,-2,3,-2,1,-2,3,-2,3}"
11a_12,"{-1,2,-1,2,2,3,-2,-4,3,3,3,-4}"
11a_23,"{1,1,1,2,-1,-3,2,4,-3,-3,4,4}"
11a_61,"{1,1,2,-1,2,-3,2,4,3,3,-5,4,-5}"
11a_68,"{-1,2,-1,2,2,2,2,-1,-3,2,-3}"
11a_92,"{-1,-1,-1,2,-1,-1,2,2,-3,2,-3}"
11a_111,"{1,1,-2,1,-2,-2,-3,2,4,-3,4,4}"
11a_141,"{-1,-1,2,-1,2,-1,2,3,-2,-4,3,-4}"
12a_0442,"{1,-2,3,4,1,1,2,2,2,2,2,-3,4,3}"
12a_0454,"{-1,2,-3,-4,5,-1,3,5,2,5,-4,5,-3}"
12a_0551,"{-1,2,3,-4,5,3,5,4,-5,4,3,2,-1,2,-3}"
12a_0705,"{-1,2,-3,-1,2,-3,2,4,-3,2,-3,4}"
12a_0726,"{-1,2,3,3,2,2,2,2,2,-3,2,-1,2}"
12a_0893,"{1,-2,-3,4,1,-2,-2,-3,4,-3,2,-3,4,4}"
12a_0928,"{-1,2,-1,2,-3,4,-3,2,-1,2,-3,2,-4,-3}"
12a_0984,"{1,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2}"
12a_1135,"{-1,-1,-1,2,3,3,2,-3,2,2,2,-1,2}"
12a_1163,"{-1,-2,3,4,5,5,4,-5,4,-3,4,-2,-1,2,3}"
12n_0086,"{1,-2,-2,3,1,3,4,1,-2,-2,-3,2,4,4}"
12n_0131,"{1,-2,-2,-3,4,1,1,-2,-2,3,3,2,4,4}"
12n_0208,"{-1,-2,-3,-3,-2,1,1,1,-2,3,-2,-2,-1}"
12n_0212,"{-1,-2,-3,-3,-2,-2,1,1,1,-2,3,-2,-1}"
12n_0337,"{1,2,-3,-3,2,-3,4,-1,-1,-2,3,-2,-3,4}"
12n_0350,"{-1,2,-3,-1,2,-3,-2,4,-2,-2,-3,4}"
12n_0353,"{-1,2,-3,4,-1,-3,4,-2,3,-2,-3,-3}"
12n_0415,"{1,-2,3,1,3,1,-2,1,-2,3,-1,-2,1}"
12n_0646,"{1,-2,3,1,3,3,2,2,-3,2,-3,-3,-3}"
12n_0758,"{-1,2,-3,4,2,3,1,1,2,2,3,3,2,4}"
12n_0771,"{1,-2,-3,1,-3,-2,-2,-1,-1,-2,3,-2,1}"
