name,braid_notation
6_3,"{1,1,-2,1,-2,-2}"
7_3,"{1,1,1,1,1,2,-1,2}"
8_1,"{1,1,2,-1,2,3,-2,-4,3,-4}"
9_15,"{-1,-1,-1,-2,1,3,-2,-4,3,-4}"
9_16,"{1,1,1,1,2,2,-1,2,2,2}"
9_17,"{-1,2,-1,2,2,2,-3,2,-3}"
9_43,"{1,1,1,2,1,1,-3,2,-3}"
10_9,"{1,1,1,1,1,-2,1,-2,-2,-2}"
10_25,"{1,1,1,1,2,-1,2,2,-3,2,-3}"
10_33,"{1,1,2,-1,2,-3,2,-3,-3,-4,3,-4}"
10_56,"{1,1,1,2,-1,2,-3,2,2,2,-3}"
10_58,"{-1,2,-1,-3,2,4,3,3,-5,4,-5}"
10_95,"{1,1,-2,-2,3,-2,1,-2,-3,-3,-2}"
10_100,"{-1,-1,-1,2,-1,-1,2,-1,-1,2}"
10_105,"{1,1,-2,1,3,2,2,-4,-3,2,-3,-4}"
10_144,"{1,1,2,-1,2,1,-3,2,1,-3,-2}"
10_154,"{1,1,2,-1,2,1,3,2,2,2,3}"
10_159,"{1,1,1,2,-1,2,-1,-1,2,2}"
10_165,"{-1,-1,-2,1,3,-2,1,-2,-3,-3,-2}"
11a_8,"{-1,-1,-2,1,-2,3,3,-2,3,-4,3,-4}"
11a_9,"{-1,2,-1,2,-3,2,2,2,2,2,-3}"
11a_27,"{-1,-1,-1,-2,1,3,-2,3,-2,-4,3,-4}"
11a_38,"{-1,-1,-2,1,-3,2,1,-3,-3,2,4,-3,2,4}"
11a_44,"{-1,-1,-1,-1,-2,-2,1,3,2,2,2,3,3}"
11a_47,"{1,1,-2,-2,1,3,-2,-2,-2,3,3}"
11a_79,"{-1,-1,2,-1,-1,2,-1,2,-3,2,-3}"
11a_86,"{-1,-1,2,2,2,2,-1,2,-3,2,-3}"
11a_109,"{1,1,-2,1,-2,3,-2,-2,-2,3,3}"
11a_117,"{1,1,1,2,-1,2,-3,2,4,-3,4,4}"
11a_123,"{1,1,1,2,-1,2,3,-2,3,2,-4,3,-2,3,4,4}"
11a_140,"{1,1,1,-2,1,-2,-3,2,4,-3,4,4}"
11a_152,"{-1,-1,-2,1,3,-2,-4,3,-2,-4,3,3}"
11a_156,"{-1,-1,-1,2,-1,-1,-3,2,2,2,-3}"
11a_164,"{-1,2,-1,2,-1,2,2,-1,-3,2,-3}"
11a_187,"{1,1,-2,1,-2,-2,3,-2,-2,-4,3,2,-4,3}"
11a_197,"{1,1,1,2,-1,-3,-2,-2,4,3,-2,3,4,4}"
11a_205,"{-1,-1,-1,2,-1,2,2,3,-2,-4,3,-4}"
11a_227,"{1,1,1,2,2,-3,2,-1,2,3,3,2,2}"
11a_238,"{1,1,1,2,-1,2,2,2,3,-2,3,4,-3,4}"
11a_239,"{1,1,-2,3,-2,1,3,-2,3,-2,3}"
11a_249,"{-1,-1,-2,1,3,-4,3,-2,3,-4,3,-4}"
11a_255,"{-1,-1,-1,2,-1,-3,2,-1,2,-3,2}"
11a_279,"{-1,-1,-2,1,3,2,2,2,2,-4,-3,2,-3,-4}"
