name,gauss_notation
12a_0020,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 11, -6, 5, -7, 12, -9, 10, -12, 8, -11}"
12a_0047,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 5, -4, 8, -9, 10, -6, 7, -10, 11, -12, 9, -8, 12, -11}"
12a_0186,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -7, 8, -6, 9, -10, 11, -4, 12, -8, 7, -12, 5, -9, 10, -11}"
12a_0289,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -4, 5, -6, 11, -12, 7, -10, 9, -8, 12, -11}"
12a_0366,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 7, -8, 9, -10, 11, -4, 12, -6, 10, -9, 8, -11, 5, -12}"
12a_0510,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -4, 10, -6, 11, -12, 7, -8, 12, -11, 5, -10}"
12a_0555,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 7, -6, 10, -4, 11, -12, 9, -8, 12, -11, 5, -10}"
12a_0565,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -6, 11, -4, 5, -11, 12, -8, 9, -10, 7, -12}"
12a_0661,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 9, -8, 7, -4, 12, -10, 11, -6, 5, -12}"
12a_0784,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 11, -6, 7, -10, 12, -4, 5, -8, 9, -12}"
12a_0821,"{1, -2, 3, -4, 5, -1, 6, -3, 7, -8, 9, -5, 10, -11, 12, -6, 2, -9, 8, -7, 4, -12, 11, -10}"
12a_0917,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -3, 8, -9, 10, -11, 4, -5, 12, -6, 7, -8, 11, -10, 9, -12}"
12a_0955,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -11, 7, -6, 12, -5, 2, -8, 11, -10, 9, -12}"
12a_0968,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 2, -9, 10, -11, 12, -8, 4, -5, 7, -10, 11, -12, 9, -6}"
12a_0993,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 4, -11, 12, -8, 2, -9, 10, -5, 11, -12, 7, -6}"
12a_0996,"{1, -2, 3, -4, 5, -1, 6, -7, 4, -3, 8, -9, 10, -6, 11, -12, 7, -10, 9, -8, 2, -5, 12, -11}"
12a_1074,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 10, -11, 9, -6, 12, -5, 4, -10, 11, -8, 7, -12}"
12a_1231,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -10, 11, -5, 6, -12, 2, -8, 4, -9, 10, -11, 12, -7}"
