Name,Row Reduced Coloring Matrix
9_40,"[[1, 0, 0, 0, 0, 0, 2, 2, 0], [0, 1, 0, 0, 0, 0, 2, 1, 1], [0, 0, 1, 0, 0, 0, 3, 4, 2], [0, 0, 0, 1, 0, 0, 2, 4, 3], [0, 0, 0, 0, 1, 0, 1, 1, 2], [0, 0, 0, 0, 0, 1, 0, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]"
9_49,"[[1, 0, 0, 0, 0, 0, 2, 2, 0], [0, 1, 0, 0, 0, 0, 3, 2, 4], [0, 0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 0, 1, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 0, 3, 3, 3], [0, 0, 0, 0, 0, 1, 1, 1, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_3,"[[1, 0, 0, 0, 0, 0, 0, 0, 4, 0], [0, 1, 0, 0, 0, 0, 0, 0, 3, 1], [0, 0, 1, 0, 0, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 0, 0, 1, 3], [0, 0, 0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1, 0, 0, 1, 3], [0, 0, 0, 0, 0, 0, 1, 0, 2, 2], [0, 0, 0, 0, 0, 0, 0, 1, 3, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_10,"[[1, 0, 0, 0, 0, 0, 0, 0, 4, 0], [0, 1, 0, 0, 0, 0, 0, 0, 2, 2], [0, 0, 1, 0, 0, 0, 0, 0, 1, 3], [0, 0, 0, 1, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1, 0, 0, 3, 1], [0, 0, 0, 0, 0, 0, 1, 0, 2, 2], [0, 0, 0, 0, 0, 0, 0, 1, 3, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_18,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 4], [0, 1, 0, 0, 0, 0, 0, 0, 2, 2], [0, 0, 1, 0, 0, 0, 0, 0, 3, 1], [0, 0, 0, 1, 0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 0, 0, 0, 1, 3], [0, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 0, 0, 0, 1, 0, 1, 3], [0, 0, 0, 0, 0, 0, 0, 1, 3, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_20,"[[1, 0, 0, 0, 0, 0, 0, 0, 1, 3], [0, 1, 0, 0, 0, 0, 0, 0, 4, 0], [0, 0, 1, 0, 0, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 1, 0, 3, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_21,"[[1, 0, 0, 0, 0, 0, 0, 0, 3, 1], [0, 1, 0, 0, 0, 0, 0, 0, 2, 2], [0, 0, 1, 0, 0, 0, 0, 0, 0, 4], [0, 0, 0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 0, 0, 1, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 1, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_24,"[[1, 0, 0, 0, 0, 0, 0, 0, 2, 2], [0, 1, 0, 0, 0, 0, 0, 0, 3, 1], [0, 0, 1, 0, 0, 0, 0, 0, 0, 4], [0, 0, 0, 1, 0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 0, 0, 0, 1, 3], [0, 0, 0, 0, 0, 1, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 3], [0, 0, 0, 0, 0, 0, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_25,"[[1, 0, 0, 0, 0, 0, 0, 0, 2, 2], [0, 1, 0, 0, 0, 0, 0, 0, 0, 4], [0, 0, 1, 0, 0, 0, 0, 0, 1, 3], [0, 0, 0, 1, 0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 0, 0, 0, 1, 3], [0, 0, 0, 0, 0, 1, 0, 0, 3, 1], [0, 0, 0, 0, 0, 0, 1, 0, 4, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_33,"[[1, 0, 0, 0, 0, 0, 0, 0, 1, 3], [0, 1, 0, 0, 0, 0, 0, 0, 4, 0], [0, 0, 1, 0, 0, 0, 0, 0, 1, 3], [0, 0, 0, 1, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0, 0, 0, 3, 1], [0, 0, 0, 0, 0, 1, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 1, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 1, 3, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_40,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 4], [0, 1, 0, 0, 0, 0, 0, 0, 1, 3], [0, 0, 1, 0, 0, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1, 0, 0, 3, 1], [0, 0, 0, 0, 0, 0, 1, 0, 4, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_56,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 4], [0, 1, 0, 0, 0, 0, 0, 0, 1, 3], [0, 0, 1, 0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 0, 0, 1, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 1, 0, 0, 1, 3], [0, 0, 0, 0, 0, 0, 1, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 1, 3, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_58,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 4], [0, 1, 0, 0, 0, 0, 0, 0, 3, 1], [0, 0, 1, 0, 0, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 0, 0, 1, 3], [0, 0, 0, 0, 1, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 0, 0, 0, 1, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 1, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_59,"[[1, 0, 0, 0, 0, 0, 0, 3, 0, 1], [0, 1, 0, 0, 0, 0, 0, 2, 0, 2], [0, 0, 1, 0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 1, 0, 0, 0, 2, 0, 2], [0, 0, 0, 0, 1, 0, 0, 3, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 0, 0, 0, 1, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 1, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_60,"[[1, 0, 0, 0, 0, 0, 0, 3, 0, 1], [0, 1, 0, 0, 0, 0, 0, 2, 0, 2], [0, 0, 1, 0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 1, 0, 0, 0, 3, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 0, 0, 0, 1, 1, 0, 3], [0, 0, 0, 0, 0, 0, 0, 0, 1, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_62,"[[1, 0, 0, 0, 0, 0, 0, 0, 3, 1], [0, 1, 0, 0, 0, 0, 0, 0, 1, 3], [0, 0, 1, 0, 0, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 0, 0, 1, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 1, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 1, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_66,"[[1, 0, 0, 0, 0, 0, 0, 0, 3, 1], [0, 1, 0, 0, 0, 0, 0, 0, 1, 3], [0, 0, 1, 0, 0, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 0, 0, 1, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 1, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 1, 0, 0, 4], [0, 0, 0, 0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_81,"[[1, 0, 0, 0, 0, 0, 0, 0, 2, 2], [0, 1, 0, 0, 0, 0, 0, 0, 0, 4], [0, 0, 1, 0, 0, 0, 0, 0, 1, 3], [0, 0, 0, 1, 0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 0, 0, 0, 3, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 0, 0, 0, 1, 0, 4, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_86,"[[1, 0, 0, 0, 0, 0, 0, 0, 3, 1], [0, 1, 0, 0, 0, 0, 0, 0, 1, 3], [0, 0, 1, 0, 0, 0, 0, 0, 1, 3], [0, 0, 0, 1, 0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 1, 0, 4, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_100,"[[1, 0, 0, 0, 0, 0, 0, 1, 0, 3], [0, 1, 0, 0, 0, 0, 0, 0, 0, 4], [0, 0, 1, 0, 0, 0, 0, 0, 0, 4], [0, 0, 0, 1, 0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0, 0, 3, 0, 1], [0, 0, 0, 0, 0, 1, 0, 2, 0, 2], [0, 0, 0, 0, 0, 0, 1, 3, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_101,"[[1, 0, 0, 0, 0, 0, 3, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0, 0, 4], [0, 0, 1, 0, 0, 0, 0, 0, 0, 4], [0, 0, 0, 1, 0, 0, 2, 0, 0, 2], [0, 0, 0, 0, 1, 0, 4, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0, 0, 3], [0, 0, 0, 0, 0, 0, 0, 1, 0, 4], [0, 0, 0, 0, 0, 0, 0, 0, 1, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
10_103,"[[1, 0, 0, 0, 0, 0, 0, 1, 0, 3], [0, 1, 0, 0, 0, 0, 0, 0, 3, 1], [0, 0, 1, 0, 0, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 0, 0, 1, 3], [0, 0, 0, 0, 1, 0, 0, 3, 4, 2], [0, 0, 0, 0, 0, 1, 0, 2, 2, 0], [0, 0, 0, 0, 0, 0, 1, 3, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
