Name,Color List
10_96,"[[3, 3, 2, 1, 1, 2, 3, 3, 3, 1]]"
10_97,"[[1, 3, 2, 2, 2, 1, 2, 2, 3, 1]]"
10_98,"[[3, 3, 2, 2, 1, 2, 2, 3, 3, 1], [1, 2, 1, 2, 3, 2, 3, 3, 1, 3], [1, 2, 3, 1, 1, 1, 2, 3, 1, 1], [1, 2, 2, 3, 2, 3, 1, 3, 1, 2]]"
10_99,"[[2, 1, 2, 3, 2, 3, 3, 1, 3, 1], [3, 2, 2, 1, 2, 2, 3, 3, 1, 3], [2, 3, 1, 1, 1, 2, 3, 1, 1, 1], [1, 1, 3, 1, 3, 2, 3, 2, 1, 2]]"
10_103,"[[2, 3, 2, 1, 1, 2, 3, 1, 3, 1]]"
10_106,"[[2, 3, 2, 1, 1, 2, 3, 1, 3, 1]]"
10_107,"[[2, 1, 3, 2, 1, 3, 2, 2, 3, 1]]"
10_108,"[[2, 1, 1, 2, 3, 2, 3, 1, 3, 1]]"
10_112,"[[1, 2, 1, 1, 1, 3, 2, 3, 3, 1]]"
10_113,"[[2, 3, 2, 2, 1, 1, 3, 1, 1, 1]]"
10_114,"[[3, 3, 2, 2, 1, 2, 2, 2, 3, 1]]"
10_120,"[[1, 2, 2, 3, 2, 2, 1, 1, 3, 1]]"
10_122,"[[1, 2, 3, 3, 2, 2, 1, 3, 3, 1]]"
10_136,"[[3, 2, 1, 2, 1, 3, 3, 2, 3, 1]]"
10_139,"[[1, 1, 2, 1, 1, 1, 3, 2, 3, 1]]"
10_140,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1]]"
10_141,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 1]]"
10_142,"[[2, 3, 2, 1, 1, 1, 3, 1, 1, 1]]"
10_143,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 1]]"
10_144,"[[2, 1, 1, 1, 3, 2, 3, 1, 1, 1]]"
10_145,"[[3, 2, 1, 1, 1, 1, 1, 2, 3, 1]]"
10_146,"[[1, 1, 3, 2, 1, 2, 3, 1, 1, 1]]"
10_147,"[[2, 3, 2, 2, 1, 1, 3, 1, 1, 1]]"
10_158,"[[1, 2, 3, 1, 1, 2, 1, 2, 3, 1]]"
10_159,"[[1, 2, 1, 1, 3, 2, 3, 3, 1, 1]]"
10_160,"[[3, 2, 1, 2, 3, 2, 1, 3, 1, 1]]"
10_163,"[[3, 3, 2, 2, 2, 1, 2, 2, 3, 1]]"
10_164,"[[2, 2, 1, 1, 3, 2, 2, 3, 3, 1]]"
10_165,"[[2, 2, 3, 2, 2, 3, 1, 3, 3, 1]]"
11a_6,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
