name,gauss_notation
10_88,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 7, -8, 4, -9, 6, -10, 8, -7, 10, -5, 9}"
10_119,"{1, -2, 3, -4, 5, -6, 2, -7, 8, -3, 9, -10, 4, -8, 7, -1, 6, -9, 10, -5}"
11a_22,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 4, -5, 8, -9, 10, -11, 6, -7, 9, -10, 11}"
11a_39,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -5, 4, -10, 11, -9, 6, -7, 8, -11, 10}"
11a_84,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 4, -9, 10, -11, 6, -5, 11, -10, 9, -7, 8}"
11a_88,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 10, -11, 6, -7, 8, -5, 9, -10, 11}"
11a_204,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 11, -9, 4, -7, 6, -5, 8, -11, 10}"
11a_222,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 8, -9, 10, -11, 4, -7, 6, -5, 11}"
12a_0128,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 5, -4, 9, -10, 11, -12, 8, -7, 12, -11, 10, -9}"
12a_0160,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -11, 12, -4, 5, -12, 11, -6, 7, -8, 9, -10}"
12a_0356,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 7, -6, 5, -4, 10, -11, 12, -8, 9, -12, 11, -10}"
12a_0888,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, 10, -11, 7, -12, 2, -9, 4, -8, 12, -6, 11, -10}"
12a_1125,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -5, 4, -3, 2, -6, 11, -12, 7, -8, 9, -10, 12, -11}"
12a_1139,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 4, -3, 2, -5, 12, -6, 11, -10, 9, -8, 7, -12}"
12a_1187,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -8, 4, -9, 10, -6, 7, -11, 12, -3, 8, -5, 9, -12, 11, -10}"
12n_0081,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, -5, 4, 8, -9, 10, -6, 7, -8, 11, -12, 9, -10, 12, -11}"
12n_0178,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, 8, -9, 10, 4, -5, -8, 7, -6, 11, -12, 9, -10, 12, -11}"
12n_0408,"{1, -2, 3, -1, 4, 5, -6, -7, 2, -3, 8, -9, 10, -4, 7, -8, 11, -12, 9, 6, -5, -10, 12, -11}"
12n_0431,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, 9, -10, -4, 11, -8, 7, -12, 5, 10, -9, -6, 12, -11}"
12n_0517,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, -8, 9, 7, -6, 10, -11, 12, -4, 5, -10, -9, 8, 11, -12}"
12n_0586,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, -10, 11, 12, -4, 9, -8, 7, 10, -11, -6, 5, -12}"
12n_0720,"{1, 2, -3, 4, -5, -1, 6, -7, 8, 3, -9, 5, 10, -11, 7, -6, 12, -10, -4, 9, -2, -8, 11, -12}"
12n_0747,"{1, 2, -3, 4, -5, -1, 6, -7, -2, 3, -8, 9, -4, 5, 10, -11, 12, -6, 7, 8, -9, -10, 11, -12}"
12n_0794,"{1, 2, -3, 4, -5, -1, 6, -7, -2, 3, -8, 9, -10, 11, 7, -6, 12, 5, -4, 8, -11, 10, -9, -12}"
