name,braid_notation
12a_0131,"{-1,2,-1,2,-3,4,-3,-3,4,-3,4,-2,-2,3}"
12a_0133,"{-1,2,-3,-1,-3,4,2,-3,4,-3,-3,4}"
12a_0225,"{-1,2,-1,2,-3,-4,-2,-4,3,-2,3,-4,-2,3}"
12a_0285,"{-1,2,-3,4,-1,-3,4,2,-3,2,-3,-3}"
12a_0293,"{-1,2,2,3,1,3,-4,1,2,2,2,3,-2,3,4,4}"
12a_0324,"{1,-2,-2,3,4,-2,-2,-3,1,4,1,-2,-3,-3}"
12a_0892,"{1,-2,1,2,3,3,4,4,3,-2,3,-2,3,-4,-2,-3}"
12a_0933,"{-1,2,3,-4,-1,2,-4,2,3,-4,-2,3,-4,-4}"
12a_0995,"{1,-2,3,1,2,2,2,2,3,-4,3,-2,3,2,4,4}"
12a_1054,"{-1,2,-1,-2,-3,-3,4,-3,2,-3,2,-3,2,3,4,-3}"
12a_1192,"{1,-2,1,-2,-2,-3,1,-3,-2,3,-2,1,-2}"
