name,gauss_notation
10_30,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -5, 4, -10, 2, -1, 10, -3, 8, -7, 6, -9}"
10_51,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 10, -4, 7, -6, 5, -8, 1, -2, 9, -10, 3}"
10_70,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 7, -4, 5, -6, 10, -2, 1, -10, 9, -8, 3}"
10_93,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 5, -4, 3, -10, 7, -8, 1, -2, 10, -6, 9}"
11a_154,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -7, 6, -8, 9, -10, 11, -5, 4, -11, 10, -9, 8}"
11a_188,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 4, -5, 6, -11, 10, -9, 8, -7, 11}"
11a_211,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 10, -11, 4, -9, 8, -7, 6, -5, 11}"
11n_7,"{-1, 2, -3, 1, -4, -5, 6, 3, -2, 4, -7, 8, 5, -6, -9, 10, -8, 7, -11, 9, -10, 11}"
11n_36,"{-1, 2, -3, 1, 4, -5, -2, 3, 6, -7, 8, -4, 5, -9, 10, -6, 11, -8, 9, -10, 7, -11}"
11n_44,"{-1, 2, -3, 1, 4, -5, -2, 3, 6, -7, 8, -4, 5, -9, 7, -10, 11, -6, 9, -8, 10, -11}"
11n_131,"{-1, 2, -3, 1, -4, 5, 6, -7, 8, 3, -2, 9, -10, -8, 7, -6, -11, 4, -9, 10, -5, 11}"
11n_160,"{-1, 2, 3, -4, -5, 1, -6, 7, -8, -3, 9, 5, -10, 11, -7, 8, 4, -9, -2, 6, -11, 10}"
12a_0016,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 5, -6, 11, -7, 12, -9, 8, -12, 10, -11}"
12a_0079,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -4, 5, -6, 11, -8, 7, -11, 12, -10, 9, -12}"
12a_0114,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 5, -4, 10, -8, 9, -10, 11, -12, 7, -6, 12, -11}"
12a_0117,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 5, -4, 10, -11, 9, -8, 11, -10, 12, -6, 7, -12}"
12a_0229,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 11, -6, 5, -11, 12, -8, 7, -12, 10, -9}"
12a_0308,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -4, 11, -8, 7, -6, 12, -10, 9, -12, 5, -11}"
12a_0369,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 12, -4, 5, -6, 7, -8, 9, -10, 11, -12}"
12a_0483,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 5, -10, 11, -8, 12, -6, 10, -4, 9, -12, 7, -11}"
12a_0494,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -8, 11, -12, 7, -6, 5, -10, 9, -4, 12, -11}"
12a_0635,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 7, -6, 12, -4, 9, -8, 5, -12, 11, -10}"
12a_0669,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -8, 7, -6, 10, -11, 12, -4, 5, -10, 11, -12}"
12a_0685,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -10, 11, -8, 7, -12, 5, -4, 10, -11, 12, -6}"
12a_0809,"{1, -2, 3, -4, 5, -1, 6, -3, 7, -5, 8, -9, 10, -11, 4, -7, 2, -6, 12, -8, 9, -10, 11, -12}"
12a_0812,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 8, -5, 4, -9, 10, -6, 11, -12, 7, -10, 9, -8, 12, -11}"
12a_0861,"{1, -2, 3, -4, 5, -1, 6, -3, 4, -7, 8, -9, 10, -11, 12, -6, 2, -5, 11, -8, 9, -10, 7, -12}"
12a_0936,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 4, -11, 12, -5, 10, -9, 2, -8, 7, -6, 11, -12}"
12a_1080,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 10, -8, 7, -11, 12, -5, 4, -10, 9, -6, 11, -12}"
12a_1165,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 12, -5, 4, -3, 2, -12, 11, -10, 9, -6, 7, -8}"
12a_1272,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -5, 11, -3, 2, -12, 6, -8, 9, -10, 4, -11, 12, -7}"
12a_1279,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -11, 12, -3, 6, -5, 4, -7, 2, -12, 11, -10, 9, -8}"
12n_0038,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, -7, 8, -9, 10, -5, 6, -11, 7, -12, 9, -10, 12, -8, 11}"
12n_0080,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -5, 4, -8, 9, -10, 6, -7, 8, -11, 12, -9, 10, -12, 11}"
12n_0114,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, -5, 4, 8, -9, 10, -11, 12, -6, 7, -8, 9, -10, 11, -12}"
12n_0165,"{1, -2, 3, -1, 4, -5, 2, -3, -6, 7, -8, 9, -10, -4, 5, 6, -11, 10, -12, 8, -9, 12, -7, 11}"
12n_0167,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, 8, -9, 10, 4, -5, -6, 11, -12, 7, -8, 9, -10, 12, -11}"
12n_0277,"{1, -2, 3, -1, -4, 5, -6, -3, 2, 7, -8, 6, -9, 10, -11, 12, -5, 8, -7, 4, -12, 9, -10, 11}"
12n_0301,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, -9, 10, 11, -6, 7, -11, 5, -8, -12, 9, -10, 12}"
12n_0324,"{1, -2, 3, -1, 4, -5, -6, 7, 2, -3, -8, 6, 9, -4, 10, -11, 12, 8, -7, -9, 5, -12, 11, -10}"
12n_0341,"{1, -2, 3, -1, -4, 5, -6, 7, 2, -3, -8, 9, -10, 4, -7, 6, -5, 8, -11, 12, -9, 10, -12, 11}"
12n_0345,"{1, -2, 3, -1, -4, 5, -6, 7, 2, -3, 8, -9, -7, 4, -5, 6, 10, -11, 12, -8, 9, -10, 11, -12}"
12n_0396,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, 9, -10, -4, 11, -8, 12, -6, 5, 10, -9, -12, 7, -11}"
12n_0512,"{1, -2, 3, -1, -4, 5, -6, 7, 2, -3, -8, 9, -5, 6, -10, 11, -7, 4, -12, 8, -11, 10, -9, 12}"
