Name,Sign List
10_136,"[-1, -1, 1, -1, -1, 1, 1, -1, -1, 1, 1, 1]"
10_139,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_140,"[-1, -1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1]"
10_141,"[-1, -1, 1, 1, -1, -1, 1, 1, 1, 1]"
10_142,"[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_143,"[-1, -1, 1, -1, -1, -1, -1, -1, 1, 1]"
10_144,"[1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1, 1]"
10_145,"[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1]"
10_146,"[-1, -1, -1, 1, 1, -1, 1, 1, -1, -1, 1, 1]"
10_147,"[1, -1, 1, 1, 1, -1, -1, 1, -1, -1, 1, 1]"
10_158,"[-1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1, 1]"
10_159,"[1, 1, -1, 1, 1, 1, -1, 1, 1, -1]"
10_160,"[1, -1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1]"
10_163,"[1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 1, 1]"
10_164,"[1, -1, 1, 1, -1, -1, -1, 1, -1, -1, 1, 1]"
10_165,"[-1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, 1]"
11a_6,"[-1, 1, 1, -1, 1, -1, -1, 1, 1, -1, 1, 1]"
11a_8,"[-1, -1, 1, -1, -1, -1, -1, 1, 1, -1, 1, 1]"
11a_16,"[1, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1]"
11a_17,"[1, 1, 1, -1, -1, 1, -1, -1, 1, 1, 1, -1, 1, 1]"
11a_21,"[1, 1, 1, -1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1]"
11a_37,"[1, -1, -1, 1, 1, -1, 1, 1, 1, -1, -1, 1]"
11a_38,"[-1, -1, 1, 1, -1, 1, 1, -1, -1, -1, -1, 1, 1, 1]"
11a_43,"[1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11a_44,"[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1]"
11a_45,"[1, 1, 1, -1, -1, -1, 1, 1, 1, -1, -1, 1, 1, 1]"
11a_46,"[1, -1, -1, 1, 1, -1, 1, 1, 1, -1, -1, 1]"
11a_47,"[1, -1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1]"
11a_49,"[1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
11a_57,"[-1, -1, -1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1, 1]"
11a_58,"[1, -1, -1, 1, 1, 1, -1, -1, -1, 1, -1, 1]"
11a_63,"[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 1]"
11a_69,"[1, -1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, 1, 1]"
11a_71,"[1, -1, -1, 1, 1, -1, 1, 1, 1, -1, 1, 1]"
11a_72,"[1, -1, 1, 1, -1, -1, -1, 1, -1, 1, 1, 1]"
11a_73,"[-1, 1, -1, -1, 1, -1, 1, -1, 1, -1, 1, 1]"
11a_78,"[1, 1, 1, -1, -1, 1, -1, 1, 1, 1, -1, -1, -1, 1]"
11a_90,"[-1, -1, 1, -1, -1, 1, -1, -1, 1, -1, 1, 1]"
11a_91,"[-1, -1, 1, -1, -1, 1, -1, 1, 1, -1, 1, 1]"
11a_93,"[-1, -1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1]"
11a_99,"[-1, 1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 1]"
11a_100,"[1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1, 1]"
11a_102,"[1, -1, 1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, 1]"
11a_103,"[1, -1, -1, -1, 1, 1, 1, 1, -1, -1, 1, -1, -1, 1, 1, 1]"
11a_106,"[1, -1, -1, 1, -1, 1, 1, -1, -1, 1, 1, 1]"
11a_107,"[-1, -1, 1, 1, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1]"
11a_108,"[1, -1, -1, 1, 1, -1, -1, -1, 1, -1, 1, 1]"
11a_109,"[1, -1, 1, 1, -1, 1, -1, -1, -1, 1, 1, 1]"
11a_117,"[1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1]"
11a_118,"[-1, 1, -1, -1, 1, -1, 1, 1, -1, 1, 1, 1]"
11a_123,"[1, 1, -1, -1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1]"
11a_128,"[-1, 1, 1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1]"
11a_130,"[-1, -1, -1, 1, -1, -1, 1, -1, -1, -1, 1, 1]"
11a_132,"[1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1, -1, -1, 1]"
11a_134,"[1, 1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1]"
11a_135,"[-1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, 1]"
11a_137,"[-1, -1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, 1]"
11a_139,"[1, -1, 1, 1, -1, 1, 1, -1, -1, 1, 1, 1]"
11a_146,"[-1, -1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1]"
11a_152,"[-1, -1, -1, 1, -1, -1, -1, 1, 1, -1, 1, 1]"
11a_155,"[-1, -1, -1, -1, 1, -1, 1, -1, 1, -1, -1, -1, 1, 1]"
11a_157,"[-1, -1, -1, -1, 1, -1, 1, -1, 1, -1, 1, 1]"
11a_159,"[1, -1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1]"
11a_161,"[-1, -1, 1, -1, -1, 1, 1, -1, -1, 1, -1, -1]"
11a_165,"[1, -1, -1, 1, 1, -1, 1, -1, 1, -1, 1, 1]"
11a_171,"[1, -1, 1, 1, -1, 1, -1, 1, -1, 1, 1, 1]"
11a_173,"[1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1, -1, 1, 1]"
11a_175,"[1, -1, -1, 1, 1, 1, -1, -1, -1, 1, 1, 1]"
11a_176,"[1, -1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1]"
11a_178,"[1, -1, 1, 1, 1, 1, -1, -1, 1, -1, 1, 1]"
11a_179,"[-1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 1, 1]"
11a_181,"[1, -1, 1, 1, -1, -1, 1, -1, 1, 1, 1, -1, -1, 1]"
11a_184,"[-1, -1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1]"
11a_187,"[1, -1, -1, 1, -1, -1, 1, 1, 1, -1, -1, -1, 1, 1]"
11a_194,"[-1, -1, 1, -1, 1, -1, -1, -1, -1, 1, -1, 1]"
11a_196,"[-1, -1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 1]"
11a_199,"[-1, -1, 1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 1, 1]"
11a_201,"[1, -1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1]"
11a_202,"[1, 1, -1, 1, 1, -1, -1, -1, 1, 1, 1, -1, -1, 1]"
11a_203,"[1, 1, -1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
