name,gauss_notation
12a_0268,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -6, 9, -4, 10, -11, 5, -9, 7, -8, 12, -10, 11, -12}"
12a_0696,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -4, 9, -10, 11, -3, 2, -8, 12, -6, 10, -9, 5, -12, 7, -11}"
12a_0765,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 5, -10, 2, -3, 11, -12, 10, -4, 9, -6, 12, -11, 7, -8}"
12a_0961,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -8, 7, -11, 12, -5, 2, -6, 11, -10, 9, -12}"
12a_1078,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -8, 9, -3, 10, -11, 4, -9, 8, -5, 12, -6, 7, -10, 11, -12}"
