name,gauss_notation
10_27,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -1, 2, -9, 10, -7, 4, -5, 6, -3, 8, -10}"
10_41,"{1, -2, 3, -4, 5, -6, 7, -8, 6, -5, 9, -10, 2, -1, 10, -3, 8, -7, 4, -9}"
10_80,"{1, -2, 3, -4, 5, -6, 7, -8, 4, -3, 9, -7, 8, -9, 10, -1, 2, -5, 6, -10}"
10_94,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 4, -9, 10, -5, 2, -8, 9, -10, 6, -7}"
11a_55,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -10, 11, -5, 4, -11, 6, -7, 8, -9, 10}"
11a_97,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 10, -11, 8, -7, 6, -5, 9, -10, 11}"
11a_226,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 10, -9, 8, -11, 4, -7, 6, -5, 11}"
11a_229,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -9, 8, -10, 11, -7, 6, -5, 4, -11, 10}"
11a_235,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 11, -2, 3, -11, 4, -5, 6, -9, 8, -7, 10}"
11a_308,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -2, 3, -4, 5, -10, 11, -9, 6, -7, 8, -11, 10}"
11n_5,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, 7, -8, -5, 6, -9, 10, 8, -7, -11, 9, -10, 11}"
11n_159,"{-1, 2, -3, 4, -5, 1, 6, -7, 8, 3, -9, 5, -10, 11, -4, 9, -2, -6, 7, -8, -11, 10}"
12a_0001,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -6, 5, -7, 10, -11, 8, -9, 12, -10, 11, -12}"
12a_0038,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 11, -12, 5, -6, 12, -11, 10, -9, 8, -7}"
12a_0231,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 5, -9, 10, -6, 11, -12, 7, -10, 9, -8, 12, -11}"
12a_0281,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -4, 11, -6, 7, -11, 5, -10, 12, -8, 9, -12}"
