name,braid_notation
11a_136,"{-1,-1,-2,3,-2,1,-2,-4,3,-2,3,-4}"
12a_0094,"{1,2,2,3,1,3,1,3,-2,3,4,-3,4,3}"
12a_0104,"{1,-2,-2,-3,4,-1,4,-1,-3,-2,-2,3,4,-2}"
12a_0194,"{-1,2,3,-1,-2,3,2,-4,3,-4,-4,-5,4,-5,-4}"
12a_0247,"{1,-2,1,2,-3,4,-5,2,2,-3,4,-5,4}"
12a_0272,"{-1,2,-3,4,-5,-1,-3,4,-5,4,-3,-4,2,-3,4}"
12a_0383,"{-1,2,-3,4,-1,4,-3,4,2,-3,-3,-3}"
12a_0534,"{-1,2,-1,-2,3,-2,-3,-3,-3,4,4,-3,-2,4}"
12a_0660,"{-1,2,2,3,3,3,2,-1,2,-3,2,2,2}"
12a_0757,"{-1,-1,-1,2,3,3,-2,3,3,3,2,-1,2}"
12a_0851,"{-1,2,3,-1,3,-1,2,-3,2,2,2,-1,2}"
12a_0971,"{1,-2,1,2,-3,2,-3,-3,2,-3,-3,-4,3,-4}"
12a_1012,"{1,1,1,-2,-3,1,-3,1,-2,3,-2,1,-2}"
12a_1066,"{1,-2,-3,1,2,2,-3,-3,2,2,2,-3,2}"
