name,gauss_notation
6_2,"{1, -2, 3, -4, 5, -6, 2, -1, 6, -3, 4, -5}"
7_2,"{-1, 2, -3, 4, -5, 6, -7, 1, -2, 7, -6, 5, -4, 3}"
8_15,"{1, -2, 3, -4, 5, -1, 2, -5, 6, -7, 8, -6, 4, -3, 7, -8}"
9_10,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -3, 2, -1, 4, -7, 6, -5, 8, -9}"
9_11,"{-1, 2, -3, 4, -5, 6, -2, 7, -8, 9, -7, 3, -4, 5, -6, 1, -9, 8}"
9_31,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -5, 6, -9, 4, -8, 2, -7}"
9_39,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -5, 2, -1, 6, -9, 4, -3, 8, -7}"
10_5,"{-1, 2, -3, 4, -5, 6, -7, 5, -8, 9, -10, 1, -2, 3, -6, 7, -4, 8, -9, 10}"
10_18,"{-1, 2, -3, 4, -5, 6, -7, 8, -4, 9, -10, 1, -2, 10, -8, 7, -6, 5, -9, 3}"
10_24,"{-1, 2, -3, 4, -5, 6, -7, 5, -4, 3, -8, 9, -2, 1, -10, 7, -6, 8, -9, 10}"
10_61,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -8, 9, -10, 6, -5, 4, -3, 8, -9, 10, -7}"
10_71,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -4, 5, -8, 9, -10, 7, -6, 10, -9}"
10_89,"{-1, 2, -3, 4, -5, 6, -2, 1, -7, 8, -6, 9, -4, 10, -8, 7, -10, 5, -9, 3}"
10_90,"{-1, 2, -3, 4, -5, 6, -7, 8, -2, 3, -9, 10, -4, 1, -8, 9, -10, 7, -6, 5}"
10_104,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 5, -10, 6, -2, 3, -7, 8, -9, 10}"
10_111,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -5, 8, -9, 10, -7, 6, -8, 4, -3, 9, -10}"
10_123,"{-1, 2, -3, 4, -5, 6, -7, 1, -8, 3, -9, 5, -10, 7, -2, 8, -4, 9, -6, 10}"
