name,gauss_notation
12a_0021,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 5, -6, 10, -7, 11, -12, 8, -9, 12, -11}"
12a_0072,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -7, 8, -4, 9, -10, 11, -6, 12, -8, 7, -12, 5, -11, 10, -9}"
12a_0171,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -10, 5, -4, 11, -7, 12, -9, 10, -12, 8, -11}"
12a_0217,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 5, -6, 11, -8, 7, -11, 12, -9, 10, -12}"
12a_0294,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -4, 5, -11, 12, -6, 7, -8, 9, -12, 11, -10}"
12a_0492,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -8, 7, -6, 11, -12, 5, -10, 9, -4, 12, -11}"
12a_0527,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -4, 10, -6, 11, -12, 7, -10, 5, -11, 12, -8}"
12a_0622,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 7, -6, 10, -11, 12, -4, 9, -8, 5, -12, 11, -10}"
12a_0872,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, 10, -11, 12, -6, 2, -9, 4, -8, 7, -12, 11, -10}"
12a_0950,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 7, -6, 10, -11, 12, -5, 2, -8, 9, -12, 11, -10}"
12a_0958,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -11, 12, -6, 2, -5, 9, -10, 11, -8, 7, -12}"
12a_1008,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 11, -12, 2, -8, 4, -9, 12, -11, 10, -5, 7, -6}"
12a_1038,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -3, 2, -5, 10, -11, 9, -6, 12, -10, 11, -8, 7, -12}"
12a_1048,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 10, -11, 4, -5, 12, -6, 9, -8, 7, -10, 11, -12}"
12a_1150,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 12, -3, 4, -8, 7, -5, 2, -10, 11, -12, 9, -6}"
12a_1228,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -10, 6, -5, 4, -11, 12, -8, 2, -9, 10, -7, 11, -12}"
