name,braid_notation
11a_287,"{-1,2,-1,2,-1,-3,2,-1,2,2,-3}"
12a_0008,"{-1,2,-1,2,-3,4,2,2,-3,-3,-3,4}"
12a_0110,"{1,-2,3,4,1,-2,1,4,5,3,5,-4,5}"
12a_0125,"{-1,2,3,-1,3,4,-5,6,2,-3,-4,-4,-5,6}"
12a_0140,"{-1,2,-3,-1,2,-3,2,4,5,-3,-4,5,4}"
12a_0219,"{-1,2,-1,2,3,-4,-4,3,-4,-2,-2,-2,-2,-3}"
12a_0226,"{-1,2,2,1,1,2,2,2,3,-4,-2,3,-4,3}"
12a_0394,"{-1,-2,3,3,-2,-2,1,-2,-2,-2,3,-2,-1}"
12a_0585,"{-1,2,-3,4,5,-1,5,4,-3,4,-5,2,-3}"
12a_0593,"{-1,2,2,-3,1,-3,1,2,-3,-4,2,3,-4,-3}"
12a_0638,"{-1,2,2,-3,2,2,3,1,3,1,-2,3,4,-3,-2,4}"
12a_0657,"{-1,-1,2,2,-3,-1,2,2,3,-1,3,2,-1}"
12a_1075,"{-1,-2,-2,-3,4,3,-2,-2,3,1,3,1,2,-3,2,4}"
12a_1121,"{-1,2,-1,-2,-2,-2,3,-2,3,3,-2,3,3}"
12a_1209,"{-1,-1,-1,2,-1,2,-1,2,-1,2,2,2}"
12n_0842,"{-1,-2,-3,-3,4,-2,-3,1,4,1,2,-3,2,4}"
