name,gauss_notation
11a_70,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 7, -8, 6, -9, 10, -5, 8, -7, 4, -11, 9, -10, 11}"
11a_114,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -5, 4, -10, 8, -11, 6, -7, 11, -9, 10}"
11a_147,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -10, 11, -7, 4, -9, 10, -5, 6, -11, 8}"
11a_269,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -9, 5, -10, 11, -7, 8, -4, 9, -2, 6, -11, 10}"
11a_322,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 3, -10, 11, -7, 5, -2, 10, -9, 8, -11, 6}"
12a_0018,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 11, -6, 5, -7, 8, -9, 12, -11, 10, -12}"
12a_0050,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 5, -4, 8, -9, 10, -11, 7, -6, 12, -8, 9, -10, 11, -12}"
12a_0124,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -4, 5, -7, 10, -11, 12, -9, 8, -12, 11, -10}"
12a_0144,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -11, 5, -4, 12, -6, 7, -8, 11, -10, 9, -12}"
12a_0161,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -11, 12, -4, 5, -12, 11, -6, 9, -8, 7, -10}"
12a_0249,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 11, -8, 7, -6, 5, -11, 12, -9, 10, -12}"
12a_0384,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -8, 9, -10, 11, -4, 12, -6, 5, -12, 7, -11, 10, -9}"
12a_0512,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -4, 5, -6, 9, -11, 12, -8, 7, -12, 11, -10}"
12a_0531,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -4, 10, -11, 12, -6, 7, -8, 5, -10, 11, -12}"
12a_0590,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 7, -8, 9, -4, 10, -11, 12, -6, 5, -10, 11, -12}"
12a_0782,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 7, -12, 5, -4, 11, -10, 9, -8, 12, -6}"
12a_0833,"{1, -2, 3, -4, 5, -1, 6, -3, 4, -7, 8, -9, 10, -5, 2, -6, 11, -12, 7, -8, 9, -10, 12, -11}"
12a_0946,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -3, 8, -9, 7, -6, 10, -11, 12, -5, 4, -8, 9, -10, 11, -12}"
12n_0736,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, -10, 11, 4, -9, 2, -12, 7, 10, -11, -8, 12, -6}"
