name,gauss_notation
9_30,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -8, 6, -7, 8, -9, 4, -3, 9, -5}"
10_13,"{-1, 2, -3, 4, -5, 6, -4, 1, -7, 8, -9, 10, -6, 5, -10, 3, -2, 9, -8, 7}"
10_28,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -7, 8, -9, 10, -5, 4, -3, 6, -10, 9, -8}"
10_37,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -7, 6, -8, 9, -10, 4, -5, 10, -9, 8}"
10_50,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -1, 10, -5, 8, -7, 6, -9, 2, -3, 4, -10}"
11a_71,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 4, -9, 6, -10, 11, -5, 9, -7, 10, -11, 8}"
11a_195,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 4, -11, 10, -9, 8, -7, 6, -5, 11}"
11a_225,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 10, -9, 8, -11, 4, -5, 6, -7, 11}"
11a_248,"{-1, 2, -3, 4, -5, 1, -6, 3, -7, 5, -8, 9, -10, 11, -4, 7, -2, 6, -11, 8, -9, 10}"
11a_273,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -4, 9, -10, 5, -2, 6, -11, 10, -9, 8, -7, 11}"
11a_359,"{-1, 2, -3, 4, -5, 6, -7, 1, -8, 9, -10, 11, -2, 3, -6, 5, -4, 7, -11, 10, -9, 8}"
11n_8,"{-1, 2, -3, 1, -4, -5, 6, 3, -2, 4, 7, -8, 5, -6, 9, -10, 8, -7, 11, -9, 10, -11}"
11n_41,"{-1, 2, -3, 1, 4, -5, -2, 3, 6, -7, 8, -4, 5, -9, 10, -8, 11, -6, 9, -10, 7, -11}"
11n_47,"{-1, 2, -3, 1, 4, -5, -2, 3, 6, -7, 8, -4, 5, -9, 7, -10, 11, -8, 9, -6, 10, -11}"
11n_59,"{-1, 2, -3, 1, 4, -5, -2, 3, -6, 7, -8, 9, -10, -4, 5, 6, -11, 8, -9, 10, -7, 11}"
11n_114,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, -9, 10, 4, -11, 8, -7, 6, 9, -10, -5, 11}"
11n_130,"{-1, 2, -3, 1, 4, -5, 6, -7, 8, 3, -2, -9, 10, -6, 11, -8, 9, -4, 5, -10, 7, -11}"
12a_0036,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 11, -12, 5, -6, 10, -11, 12, -7, 8, -9}"
12a_0081,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 5, -4, 9, -6, 10, -11, 12, -8, 7, -12, 11, -10}"
12a_0127,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 5, -4, 9, -10, 11, -12, 8, -7, 12, -9, 10, -11}"
12a_0150,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -11, 12, -4, 5, -6, 9, -8, 7, -12, 11, -10}"
12a_0202,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -6, 10, -8, 11, -12, 7, -10, 5, -9, 12, -11}"
12a_0207,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -6, 5, -9, 10, -11, 12, -8, 7, -10, 11, -12}"
12a_0251,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 11, -8, 12, -6, 7, -12, 5, -11, 10, -9}"
12a_0312,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -4, 11, -12, 7, -6, 5, -10, 9, -8, 12, -11}"
12a_0401,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 5, -4, 11, -12, 7, -6, 12, -10, 9, -8}"
12a_0404,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -8, 9, -10, 5, -4, 11, -12, 10, -6, 7, -9, 12, -11}"
12a_0616,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 7, -10, 11, -4, 5, -12, 10, -8, 9, -11, 12, -6}"
12a_0655,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -8, 10, -11, 12, -4, 7, -10, 11, -6, 5, -12}"
12a_0694,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -4, 5, -6, 9, -3, 2, -10, 11, -12, 7, -8, 10, -11, 12, -9}"
12a_0778,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 9, -12, 7, -4, 11, -10, 5, -6, 12, -8}"
12a_0814,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 4, -5, 8, -9, 10, -11, 7, -6, 12, -8, 11, -10, 9, -12}"
12a_0864,"{1, -2, 3, -4, 5, -1, 6, -3, 7, -8, 4, -9, 10, -11, 12, -6, 2, -7, 8, -5, 9, -10, 11, -12}"
12a_0939,"{1, -2, 3, -4, 5, -1, 6, -7, 4, -3, 8, -9, 10, -11, 2, -5, 7, -12, 11, -10, 9, -8, 12, -6}"
12a_0992,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 2, -11, 12, -8, 4, -9, 10, -5, 7, -12, 11, -6}"
12a_1018,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 11, -12, 4, -8, 7, -6, 2, -9, 12, -11, 10, -5}"
12a_1036,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 4, -5, 10, -11, 9, -6, 12, -10, 11, -8, 7, -12}"
12a_1041,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 11, -5, 9, -12, 2, -11, 4, -10, 12, -6, 7, -8}"
12a_1133,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 4, -3, 2, -5, 12, -6, 11, -8, 9, -10, 7, -12}"
12a_1134,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 12, -3, 4, -5, 2, -6, 7, -8, 9, -10, 11, -12}"
12a_1211,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -5, 10, -11, 6, -7, 12, -8, 2, -9, 4, -10, 11, -12}"
12a_1251,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -3, 11, -5, 12, -8, 2, -7, 6, -11, 4, -10, 9, -12}"
12n_0076,"{1, -2, 3, -1, 4, -5, 2, -3, -6, 7, -8, -4, 5, 6, -9, 10, -11, 12, -7, 8, -12, 9, -10, 11}"
12n_0113,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -5, 4, -8, 9, -10, 11, -12, 6, -7, 8, -9, 10, -11, 12}"
12n_0160,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -8, 9, -5, 4, -10, 6, -9, 11, -12, 8, -7, 12, -11, 10}"
12n_0271,"{1, -2, 3, -1, -4, 5, -6, -3, 2, 7, -8, 6, -9, 10, -11, 4, -7, 8, -5, 9, -12, 11, -10, 12}"
12n_0323,"{1, -2, 3, -1, 4, -5, -6, 7, 2, -3, -8, 6, 9, -4, -10, 11, -12, 8, -7, -9, 5, 12, -11, 10}"
12n_0326,"{1, -2, 3, -1, -4, 5, -6, 7, 2, -3, -8, 6, -9, 4, -10, 11, -5, 9, -7, 8, -12, 10, -11, 12}"
12n_0342,"{1, -2, 3, -1, -4, 5, -6, 7, 2, -3, 8, -9, 10, 4, -7, 6, -5, -8, 11, -12, 9, -10, 12, -11}"
