name,gauss_notation
10_73,"{-1, 2, -3, 4, -5, 6, -4, 7, -8, 9, -7, 5, -6, 10, -2, 1, -9, 8, -10, 3}"
10_83,"{-1, 2, -3, 4, -5, 1, -2, 6, -4, 7, -8, 9, -10, 5, -6, 3, -7, 10, -9, 8}"
10_110,"{1, -2, 3, -4, 5, -6, 7, -8, 4, -3, 9, -10, 2, -1, 6, -7, 10, -9, 8, -5}"
11a_50,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 6, -7, 8, -5, 4, -9, 10, -11, 7, -8, 11, -10, 9}"
11a_75,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -5, 6, -9, 10, -11, 8, -7, 11, -10, 9}"
11a_145,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -9, 10, -11, 4, -7, 6, -5, 11, -10, 9}"
11a_191,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -9, 4, -10, 11, -5, 6, -7, 8, -11, 10}"
11a_307,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 3, -4, 5, -2, 6, -11, 10, -9, 8, -7, 11}"
11a_323,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 3, -10, 11, -9, 5, -2, 10, -11, 8, -7, 6}"
11n_177,"{-1, -2, 3, 4, -5, 1, -6, 7, -8, -3, 2, 9, -7, 10, -4, 5, -11, 6, -9, 8, -10, 11}"
12a_0233,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 7, -6, 10, -11, 12, -9, 5, -8, 11, -12}"
12a_0334,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 5, -4, 9, -10, 11, -8, 12, -6, 10, -11, 7, -12}"
12a_0415,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -8, 9, -10, 11, -4, 7, -9, 12, -11, 5, -6, 10, -12}"
12a_0538,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 11, -12, 5, -6, 7, -8, 9, -10, 12, -11}"
12a_0567,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -8, 11, -4, 12, -6, 7, -10, 9, -11, 5, -12}"
12a_0797,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 12, -3, 2, -12, 11, -10, 9, -4, 7, -6, 5, -8}"
12a_0804,"{1, -2, 3, -4, 5, -1, 6, -3, 7, -5, 8, -9, 4, -7, 2, -6, 10, -11, 12, -8, 9, -10, 11, -12}"
12a_0839,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 8, -9, 10, -11, 12, -5, 4, -6, 7, -8, 11, -10, 9, -12}"
12a_0903,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -3, 8, -9, 10, -5, 4, -11, 12, -8, 7, -6, 9, -12, 11, -10}"
12a_1027,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 4, -5, 10, -11, 12, -6, 7, -8, 9, -10, 11, -12}"
12a_1057,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -3, 10, -11, 2, -5, 9, -8, 12, -6, 11, -10, 7, -12}"
12n_0002,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, 7, -8, 9, 6, -5, -7, 10, -11, 8, -9, 12, -10, 11, -12}"
12n_0075,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, 8, 4, -5, -6, 9, -10, 11, -12, 7, -8, 12, -9, 10, -11}"
12n_0181,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, 9, -10, -4, 5, -8, 7, -6, -11, 12, -9, 10, -12, 11}"
12n_0216,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, 8, -9, -5, 4, 10, -11, 9, -8, 7, -6, 12, -10, 11, -12}"
12n_0272,"{1, -2, 3, -1, -4, 5, -6, -3, 2, 7, -8, 6, -9, 10, -11, 4, -7, 8, -5, 11, -12, 9, -10, 12}"
12n_0406,"{1, -2, 3, -1, -4, 5, -6, 7, 2, -3, -8, 9, -10, 4, -7, 8, -11, 12, -9, 6, -5, 10, -12, 11}"
12n_0465,"{1, -2, 3, -1, 4, -5, 6, 7, -8, -3, 2, 9, -10, -6, 11, -4, 12, 10, -7, 8, -9, -12, 5, -11}"
12n_0479,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, -8, 9, -10, 11, -12, -4, 7, -6, 5, 8, -11, 10, -9, 12}"
12n_0530,"{1, -2, 3, -1, -4, 5, -6, 7, -8, -3, 2, 6, -9, 10, -11, 8, -7, 12, -10, 4, -5, 9, -12, 11}"
12n_0541,"{1, -2, 3, -1, -4, 5, -6, 7, -8, -3, 2, 9, -10, 8, -11, 12, -7, 10, -9, 4, -5, 6, -12, 11}"
12n_0569,"{1, -2, 3, -1, -4, 5, 6, -7, 8, -9, 2, -3, 9, -10, 11, 4, -12, -6, 7, -8, 10, -11, -5, 12}"
