name,gauss_notation
11a_32,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -5, 4, -10, 6, -11, 8, -9, 11, -7, 10}"
11a_54,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 7, -8, 9, -10, 4, -11, 6, -9, 8, -7, 10, -5, 11}"
11a_172,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 9, -10, 8, -7, 11, -5, 4, -9, 10, -11, 6}"
11a_217,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 6, -7, 10, -11, 4, -5, 8, -9, 11}"
11a_268,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -9, 5, -10, 11, -4, 9, -2, 6, -7, 8, -11, 10}"
12a_0031,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 5, -6, 11, -12, 10, -9, 8, -7, 12, -11}"
12a_0178,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -10, 5, -4, 11, -12, 10, -7, 8, -9, 12, -11}"
12a_0205,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 5, -6, 9, -10, 11, -12, 7, -8, 12, -9, 10, -11}"
12a_0278,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -4, 5, -6, 7, -10, 11, -12, 9, -8, 12, -11}"
12a_0344,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 7, -6, 8, -9, 5, -4, 10, -11, 12, -8, 9, -10, 11, -12}"
12a_0595,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 9, -4, 12, -8, 7, -6, 5, -12, 11, -10}"
12a_0676,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -8, 7, -10, 11, -6, 12, -4, 10, -11, 5, -12}"
12a_0713,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 11, -4, 5, -6, 12, -8, 9, -10, 7, -12}"
12a_0761,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 11, -10, 12, -4, 9, -6, 7, -8, 5, -12}"
12a_0969,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 2, -9, 10, -11, 12, -8, 4, -5, 7, -12, 11, -10, 9, -6}"
12a_1032,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -3, 2, -5, 10, -11, 12, -6, 9, -8, 7, -10, 11, -12}"
12a_1256,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -3, 4, -5, 11, -12, 2, -10, 9, -8, 6, -11, 12, -7}"
12n_0652,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 5, -10, 2, -3, -11, 12, 10, -4, 9, -6, -12, 11, 7, -8}"
12n_0786,"{1, 2, -3, 4, -5, -1, 6, -7, -8, 3, -9, 10, -4, 11, -12, 5, -10, 9, -2, 8, -11, 12, 7, -6}"
12n_0857,"{1, -2, -3, 4, 5, -1, 6, -7, 8, -9, -4, 3, 10, -8, 11, -5, 2, -12, 7, -11, 9, -10, 12, -6}"
12n_0878,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -5, -10, 11, 4, -3, 9, -6, 12, 10, -11, -8, 7, -12}"
