name,gauss_notation
12a_0017,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 5, -6, 11, -7, 12, -9, 10, -12, 8, -11}"
12a_0090,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -4, 5, -8, 11, -6, 7, -11, 12, -10, 9, -12}"
12a_0138,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -7, 8, -9, 10, -4, 11, -6, 12, -8, 9, -10, 7, -12, 5, -11}"
12a_0228,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 7, -6, 11, -12, 10, -8, 5, -11, 12, -9}"
12a_0267,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -6, 9, -4, 10, -11, 12, -8, 7, -9, 5, -12, 11, -10}"
12a_0283,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -8, 9, -4, 10, -6, 11, -12, 7, -10, 5, -11, 12, -9}"
12a_0604,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -8, 7, -4, 11, -12, 9, -10, 12, -6, 5, -11}"
12a_0609,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 12, -4, 9, -8, 5, -12, 11, -6, 7, -10}"
12a_0687,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -6, 7, -10, 11, -12, 9, -8, 5, -4, 12, -11}"
12a_0734,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 11, -4, 12, -6, 9, -10, 5, -12, 7, -8}"
12a_0871,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, 10, -11, 12, -6, 2, -9, 4, -8, 7, -10, 11, -12}"
12a_0901,"{1, -2, 3, -4, 5, -1, 6, -7, 4, -3, 8, -9, 2, -5, 10, -11, 12, -6, 9, -8, 7, -10, 11, -12}"
12a_1071,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 4, -11, 7, -6, 12, -5, 2, -8, 9, -10, 11, -12}"
12a_1175,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -5, 10, -11, 7, -12, 2, -3, 9, -10, 11, -8, 12, -6}"
12a_1198,"{1, -2, 3, -4, 5, -1, 6, -7, 4, -8, 9, -10, 2, -6, 11, -12, 7, -3, 10, -9, 8, -5, 12, -11}"
