name,braid_notation
12a_0101,"{1,2,2,1,1,-2,-3,4,-3,2,-3,-3,4,-3}"
12a_0115,"{1,2,2,1,1,-2,-3,4,-3,-3,2,-3,4,-3}"
12a_0126,"{-1,2,-3,-1,-3,4,2,4,-3,4,-3,4}"
12a_0132,"{-1,2,-1,2,-3,4,-3,4,-3,4,-2,4,-2,3}"
12a_0341,"{-1,2,-3,-1,-3,2,-3,4,2,2,-3,4}"
12a_0350,"{-1,2,2,-3,2,2,3,1,3,-4,1,2,-3,2,3,-4}"
12a_0363,"{-1,2,-3,-4,-1,-2,-4,-2,-2,3,-2,-4,3,3}"
12a_0602,"{-1,2,-1,-1,-1,2,3,3,3,2,-1,2,-3}"
12a_0627,"{-1,2,-3,4,-1,2,-3,2,4,2,-3,-3}"
12a_0865,"{1,1,-2,1,-2,-3,1,-3,-2,3,-2,1,-2}"
12a_0983,"{-1,2,3,3,-4,2,1,1,-2,3,3,-2,3,-4,3,2}"
