name,braid_notation
8_14,"{1,1,1,2,-1,2,-3,2,-3}"
9_8,"{1,1,-2,1,-2,-3,2,4,-3,4}"
9_9,"{1,1,1,1,1,2,-1,2,2,2}"
10_46,"{1,1,1,1,1,-2,1,1,1,-2}"
10_96,"{1,-2,-1,3,-2,-1,3,-4,3,-2,3,-4}"
10_107,"{1,1,-2,1,-3,-2,-2,4,-3,2,-3,4}"
10_114,"{-1,-1,-2,1,3,-2,3,-2,3,-2,3}"
10_131,"{1,1,1,2,-1,-1,2,2,3,-2,3}"
10_148,"{-1,-1,-1,-1,-2,1,1,-2,1,-2}"
11a_19,"{1,1,-2,1,-2,1,3,-2,-2,3,3}"
11a_25,"{1,1,1,2,-1,-1,3,-2,3,-2,3,3,-2}"
11a_37,"{1,1,2,-1,-3,2,-3,4,-3,-3,4,4}"
11a_63,"{-1,-1,-2,1,-2,-2,3,-2,-2,-4,3,-4}"
11a_93,"{-1,-1,-1,-2,1,3,-2,3,3,-4,3,-4}"
11a_106,"{1,1,-2,1,3,-2,-2,-2,-2,3,3}"
11a_124,"{1,1,1,2,2,-3,2,-1,2,3,3,3,2}"
11a_194,"{-1,-1,-1,2,-1,-1,-1,2,-3,2,-3}"
11a_237,"{1,1,1,2,-1,2,2,2,3,-2,-2,4,-3,2,4,3}"
11a_281,"{-1,2,2,-1,2,-3,2,-1,2,2,-3}"
11a_309,"{1,1,1,-2,1,3,-2,3,3,4,-3,4}"
11a_343,"{1,1,2,-1,2,2,3,-2,3,4,-3,4,5,-4,5}"
11a_346,"{-1,2,2,2,-3,2,-1,2,2,-3,2}"
11a_349,"{1,1,2,-1,-3,2,4,-3,2,4,-3,4}"
11a_358,"{1,1,1,1,1,1,1,2,-1,2,3,-2,3}"
11n_60,"{1,1,1,2,1,1,-3,2,-3,-3,-3}"
11n_91,"{-1,-1,-2,1,3,-2,-4,-3,2,-3,-3,-4}"
11n_182,"{1,1,-2,1,-2,1,-3,-2,1,-2,-3}"
12a_0044,"{1,2,2,-3,1,-3,4,-2,4,5,1,3,5,-4,5}"
12a_0055,"{1,2,2,3,4,1,4,1,4,-3,-2,4,3,3}"
12a_0064,"{1,1,-2,-3,1,-3,4,2,4,5,2,3,5,-4,5}"
12a_0099,"{1,-2,-2,3,-4,1,1,-2,3,-4,-4,3}"
12a_0129,"{-1,2,-3,-1,-3,4,2,4,4,-3,4,4}"
12a_0190,"{-1,2,-1,2,-3,-3,-2,-2,3,-4,3,-4,-4,-4}"
12a_0300,"{-1,2,3,-4,5,-1,3,5,-2,-4,5,3,2}"
12a_0314,"{1,-2,3,4,1,-2,4,5,3,5,3,4,-3,4,-5}"
12a_0339,"{1,1,2,-1,2,-3,-2,4,-3,2,2,-5,4,3,3,-5,4}"
12a_0372,"{1,-2,-3,2,-3,-2,-4,1,1,-2,-2,-2,-3,2,-3,4}"
12a_0381,"{-1,2,3,-1,3,3,3,4,-5,2,-3,4,-5}"
12a_0413,"{1,-2,3,1,1,-2,3,-4,3,-2,3,-4}"
12a_0419,"{-1,2,-3,4,-1,2,4,-3,2,4,-3,4}"
12a_0469,"{1,2,-3,-3,2,-3,4,-3,1,1,2,-3,-2,4}"
12a_0482,"{-1,2,-3,4,5,6,-1,2,-3,-5,6,-4,5,-4}"
12a_0530,"{-1,2,3,-4,5,-1,-4,5,3,4,2,-5,-3,2,-4}"
12a_0566,"{-1,2,3,-4,-5,-1,-4,-5,3,-4,-2,5,3,-2,-4}"
12a_0571,"{1,1,1,2,-3,2,-3,-1,2,-3,2,2,-3}"
12a_0592,"{-1,2,2,3,3,2,2,-3,-4,1,1,-2,3,2,-4,2}"
12a_0605,"{-1,-1,2,-3,-1,2,2,3,-1,3,-1,2,-1}"
12a_0613,"{1,-2,-3,4,4,-3,2,-3,4,-3,-1,-3,-1,-2}"
12a_0636,"{-1,-1,-2,1,-2,-2,-3,2,2,-4,3,-2,5,-4,-3,5,5}"
12a_0652,"{-1,2,-3,4,-1,2,-3,4,4,5,-4,5,4}"
12a_0746,"{-1,2,-1,2,-1,-3,-1,2,2,3,3,2,-1}"
12a_0800,"{1,-2,3,-4,1,3,3,3,-4,2,2,2,-3,2}"
12a_0897,"{1,-2,1,2,-3,-4,2,-4,-3,2,-3,4,2,-3}"
12a_0966,"{-1,2,3,3,2,2,-1,2,-1,-3,-1,2,-1}"
12a_0976,"{-1,2,-3,-4,-1,-2,-2,3,-4,3,-5,-2,3,4,-5}"
12a_1035,"{-1,2,-3,4,2,3,1,1,2,2,3,3,3,3,-2,4}"
12a_1081,"{-1,2,3,-4,-1,2,-4,-3,2,3,-4,3,-4,3}"
12a_1097,"{1,1,2,-1,2,-3,-2,1,4,-3,4,3,2,2,3,4,5,-4,5}"
12a_1099,"{1,-2,-2,-2,1,-2,3,-2,1,-2,-2,-3,-3}"
12a_1108,"{1,-2,1,2,-3,-4,3,2,-4,-3,-3,2,-3,-3}"
12a_1168,"{1,-2,1,1,-2,-2,-2,1,1,-2,-2,-2}"
12a_1190,"{-1,2,3,-4,-1,2,2,3,-4,3,-2,3,-4,3}"
12a_1241,"{-1,2,-3,-4,3,-4,2,2,-3,2,-3,1,1,2}"
12a_1250,"{1,1,-2,-2,1,-2,1,-2,-2,1,1,-2}"
