name,braid_notation
10_43,"{1,1,-2,1,3,-2,-4,3,-4,-4}"
10_53,"{1,1,2,-1,2,-3,2,4,3,3,3,4}"
10_72,"{1,1,1,1,2,2,-1,2,-3,2,-3}"
10_91,"{-1,-1,-1,2,-1,2,2,-1,2,2}"
10_102,"{-1,-1,2,-1,-3,2,-1,2,2,3,3}"
11a_74,"{-1,2,-1,2,2,2,-3,2,2,2,-3}"
11a_95,"{1,1,1,2,-1,2,2,3,-2,3,4,-3,4,4}"
11a_144,"{-1,-1,-1,-1,-1,-2,1,3,-2,-4,3,-4}"
11a_182,"{-1,-1,-1,-1,-1,2,-1,2,-3,2,-3}"
11a_210,"{-1,-1,-2,1,3,-2,3,3,4,-3,-5,4,-5}"
11n_108,"{-1,-1,2,-1,-1,-3,-2,1,-2,-2,-3}"
12a_0029,"{-1,2,-1,2,-3,-4,-4,-3,2,2,-3,4,-3,-4}"
12a_0067,"{-1,2,-1,2,3,3,4,-2,-2,-3,-3,-3,4,-3}"
12a_0103,"{-1,2,-3,4,-1,4,5,3,5,2,-3,-4,5,2,-3}"
12a_0113,"{1,-2,-2,3,1,3,4,1,2,-3,2,4,-3,-2}"
12a_0136,"{-1,2,-3,-1,2,-3,2,4,-3,-3,-3,4}"
12a_0256,"{-1,2,-1,2,-3,-4,5,2,3,3,-4,2,3,-4,5}"
12a_0292,"{-1,-2,-2,3,3,-2,-2,3,4,-1,-1,2,-3,4}"
12a_0509,"{-1,-1,2,2,-3,-1,2,2,3,3,2,-1,2}"
12a_0633,"{-1,2,2,1,1,2,-3,4,-3,2,-3,-2,3,4,-3,4}"
12a_0641,"{1,-2,1,2,-3,-3,-3,-3,2,2,-3,-3,-3}"
12a_0733,"{-1,2,-1,2,2,2,-3,2,3,4,4,3,2,-4}"
12a_0771,"{1,-2,-3,4,-2,4,-3,-2,4,3,-1,-1,-2,-2,3,-2}"
12a_0806,"{1,-2,-3,1,-3,-2,3,-2,-2,1,-2,1,-2}"
12a_0913,"{1,-2,3,-4,3,-2,-1,3,-2,3,-4,3,3,-2}"
12a_1131,"{-1,-1,-1,-1,-1,2,3,-1,3,2,-3,2,-1}"
12a_1148,"{1,-2,3,-4,1,3,3,3,-4,2,-4,-4,-3,2}"
12n_0003,"{-1,2,-1,2,-3,-3,4,-2,-2,-3,4,4}"
12n_0069,"{1,2,2,3,-4,1,1,-2,-2,3,-2,-4}"
12n_0094,"{1,-2,1,2,3,3,2,2,-3,-4,3,3,3,-4}"
12n_0104,"{-1,-1,-1,-2,-2,-1,2,3,-2,-2,-1,3,3}"
12n_0237,"{1,-2,-2,3,3,2,2,2,2,2,1,-2,3}"
12n_0361,"{-1,2,3,2,3,2,-4,1,1,2,-3,2,3,-4}"
12n_0385,"{1,-2,3,1,3,-2,-2,-1,-1,2,3,-2,1}"
12n_0405,"{1,-2,3,4,1,-2,4,3,-2,3,4,3}"
12n_0447,"{1,-2,3,3,-2,1,-2,-2,-2,-3,1,-2,1}"
12n_0476,"{-1,-2,3,3,2,2,2,2,2,3,-2,-1,2}"
12n_0614,"{-1,2,-3,4,-1,-3,2,-3,2,4,3,3}"
12n_0659,"{-1,2,3,-1,3,3,2,-3,2,3,3,4,-3,4}"
12n_0703,"{1,-2,1,2,3,-2,3,-2,3,-2,3,3,3}"
12n_0729,"{-1,2,3,2,3,1,1,2,-3,2,-1,2,3}"
