name,braid_notation
11a_24,"{1,1,1,2,-1,-1,3,-2,-2,3,-2,3,-2}"
11a_26,"{1,1,-2,-2,1,3,-2,-2,3,-2,3}"
11a_315,"{1,1,-2,1,-2,3,-2,1,-2,-2,3}"
12a_0159,"{1,2,-3,4,2,4,5,5,-4,-3,2,4,1,5,-2}"
12a_0201,"{-1,2,3,-1,3,4,-5,-4,3,-2,3,-2,-4,-3,-5}"
12a_0250,"{-1,2,-3,4,-1,2,4,2,2,-3,2,4}"
12a_0276,"{1,2,2,2,2,3,1,3,1,1,-2,3,1}"
12a_0307,"{1,-2,1,2,-3,4,-5,-3,4,2,-5,2,-3}"
12a_0320,"{1,1,2,-1,2,3,-2,-4,-3,2,5,4,3,3,3,4,5}"
12a_0462,"{-1,2,-3,4,-1,2,2,2,-3,-3,-3,4}"
12a_0518,"{-1,2,-3,4,5,-1,-3,-4,5,4,2,-3,2}"
12a_0544,"{-1,2,-1,-1,-1,2,-3,2,2,3,3,2,-1}"
12a_0568,"{-1,2,2,1,1,2,3,-2,3,3,3,4,-3,2,-3,-4}"
12a_0727,"{-1,2,-1,2,-3,2,3,3,3,4,4,3,2,-4}"
12a_0781,"{1,-2,3,-4,5,1,-3,5,-3,-4,2,5,-3,2,-4}"
12a_0947,"{1,-2,1,2,-3,4,-2,4,3,3,-2,3,3,-4,3,3}"
12a_0985,"{1,-2,-2,-2,-3,1,-3,-2,3,-2,1,-2,-2}"
12a_1089,"{-1,2,3,-1,3,3,2,-3,2,-4,2,2,3,-4}"
12a_1258,"{1,1,-2,-2,1,-2,1,1,1,-2,-2,-2}"
12n_0635,"{1,2,3,3,-4,2,-1,-1,-2,3,-2,-4,3,-2}"
