Name,Dihedral Linking Numbers
5_2,"[[[1, 2, -2, 2], [2, 2, 0, 0], [-2, 0, 2, 2], [2, 0, 2, 0]], [[1, 2, -2, 2], [2, 2, 0, 0], [-2, 0, 2, 2], [2, 0, 2, 0]], [[1, 2, -2, 2], [2, 2, 0, 0], [-2, 0, 2, 2], [2, 0, 2, 0]]]"
xq,"[[[-5, 2, 2, 2], [2, -1, 2, 2], [2, 2, -1, 2], [2, 2, 2, -1]], [[-5, 2, 2, 2], [2, -1, 2, 2], [2, 2, -1, 2], [2, 2, 2, -1]], [[-5, 2, 2, 2], [2, -1, 2, 2], [2, 2, -1, 2], [2, 2, 2, -1]]]"
7_7,"[[[5, 2, 2, -6], [2, 0, -2, 2], [2, -2, 4, -2], [-6, 2, -2, 4]], [[5, 2, 2, -6], [2, 0, -2, 2], [2, -2, 4, -2], [-6, 2, -2, 4]], [[5, 2, 2, -6], [2, 0, -2, 2], [2, -2, 4, -2], [-6, 2, -2, 4]]]"
8_5,"[[[8, 10, -10, -2], [10, 3, -6, 0], [-10, -6, 9, 4], [-2, 0, 4, -1]], [[8, 10, -10, -2], [10, 3, -6, 0], [-10, -6, 9, 4], [-2, 0, 4, -1]], [[8, 10, -10, -2], [10, 3, -6, 0], [-10, -6, 9, 4], [-2, 0, 4, -1]]]"
8_16,"[[[-23, -18, 22, 6], [-18, -8, 14, 2], [22, 14, -20, -6], [6, 2, -6, 0]], [[-23, -18, 22, 6], [-18, -8, 14, 2], [22, 14, -20, -6], [6, 2, -6, 0]], [[-23, -18, 22, 6], [-18, -8, 14, 2], [22, 14, -20, -6], [6, 2, -6, 0]]]"
9_4,"[[[3, -6, -2, 2], [-6, 3, 0, -4], [-2, 0, -1, -2], [2, -4, -2, 1]], [[3, -6, -2, 2], [-6, 3, 0, -4], [-2, 0, -1, -2], [2, -4, -2, 1]], [[3, -6, -2, 2], [-6, 3, 0, -4], [-2, 0, -1, -2], [2, -4, -2, 1]]]"
9_12,"[[[-1, 2, -6, 2], [2, 1, -2, -2], [-6, -2, 1, 2], [2, -2, 2, -3]], [[-1, 2, -6, 2], [2, 1, -2, -2], [-6, -2, 1, 2], [2, -2, 2, -3]], [[-1, 2, -6, 2], [2, 1, -2, -2], [-6, -2, 1, 2], [2, -2, 2, -3]]]"
9_27,"[[[-5, -2, 2, 2], [-2, -1, 2, 0], [2, 2, -3, 0], [2, 0, 0, -1]], [[-5, -2, 2, 2], [-2, -1, 2, 0], [2, 2, -3, 0], [2, 0, 0, -1]], [[-5, -2, 2, 2], [-2, -1, 2, 0], [2, 2, -3, 0], [2, 0, 0, -1]]]"
9_41,"[[[-40/7, 2/7, -26/7, 30/7], [2/7, 2/7, 2/7, -12/7], [-26/7, 2/7, -12/7, 16/7], [30/7, -12/7, 16/7, -26/7]], [[-40/7, 2/7, -26/7, 30/7], [2/7, 2/7, 2/7, -12/7], [-26/7, 2/7, -12/7, 16/7], [30/7, -12/7, 16/7, -26/7]], [[-40/7, 2/7, -26/7, 30/7], [2/7, 2/7, 2/7, -12/7], [-26/7, 2/7, -12/7, 16/7], [30/7, -12/7, 16/7, -26/7]], [[-33/7, 2/7, 2/7, 2/7], [2/7, -12/7, 2/7, 2/7], [2/7, 2/7, -12/7, 2/7], [2/7, 2/7, 2/7, -12/7]], [[-19/7, 30/7, -26/7, 2/7], [30/7, -12/7, -12/7, 2/7], [-26/7, -12/7, 2/7, 16/7], [2/7, 2/7, 16/7, -26/7]], [[-40/7, 30/7, -26/7, 2/7], [30/7, -26/7, 16/7, -12/7], [-26/7, 16/7, -12/7, 2/7], [2/7, -12/7, 2/7, 2/7]], [[-40/7, 2/7, -26/7, 30/7], [2/7, 2/7, 2/7, -12/7], [-26/7, 2/7, -12/7, 16/7], [30/7, -12/7, 16/7, -26/7]], [[-19/7, 2/7, 30/7, -26/7], [2/7, -26/7, 2/7, 16/7], [30/7, 2/7, -12/7, -12/7], [-26/7, 16/7, -12/7, 2/7]], [[-33/7, 2/7, 2/7, 2/7], [2/7, -12/7, 2/7, 2/7], [2/7, 2/7, -12/7, 2/7], [2/7, 2/7, 2/7, -12/7]], [[-19/7, 30/7, -26/7, 2/7], [30/7, -12/7, -12/7, 2/7], [-26/7, -12/7, 2/7, 16/7], [2/7, 2/7, 16/7, -26/7]], [[-33/7, 2/7, 2/7, 2/7], [2/7, -12/7, 2/7, 2/7], [2/7, 2/7, -12/7, 2/7], [2/7, 2/7, 2/7, -12/7]], [[-19/7, 2/7, 30/7, -26/7], [2/7, -26/7, 2/7, 16/7], [30/7, 2/7, -12/7, -12/7], [-26/7, 16/7, -12/7, 2/7]], [[-19/7, 30/7, -26/7, 2/7], [30/7, -12/7, -12/7, 2/7], [-26/7, -12/7, 2/7, 16/7], [2/7, 2/7, 16/7, -26/7]], [[-33/7, 2/7, 2/7, 2/7], [2/7, -12/7, 2/7, 2/7], [2/7, 2/7, -12/7, 2/7], [2/7, 2/7, 2/7, -12/7]], [[-40/7, 2/7, 30/7, -26/7], [2/7, 2/7, -12/7, 2/7], [30/7, -12/7, -26/7, 16/7], [-26/7, 2/7, 16/7, -12/7]], [[-19/7, 30/7, -26/7, 2/7], [30/7, -12/7, -12/7, 2/7], [-26/7, -12/7, 2/7, 16/7], [2/7, 2/7, 16/7, -26/7]], [[-40/7, 2/7, -26/7, 30/7], [2/7, 2/7, 2/7, -12/7], [-26/7, 2/7, -12/7, 16/7], [30/7, -12/7, 16/7, -26/7]], [[-33/7, 2/7, 2/7, 2/7], [2/7, -12/7, 2/7, 2/7], [2/7, 2/7, -12/7, 2/7], [2/7, 2/7, 2/7, -12/7]], [[-33/7, 2/7, 2/7, 2/7], [2/7, -12/7, 2/7, 2/7], [2/7, 2/7, -12/7, 2/7], [2/7, 2/7, 2/7, -12/7]], [[-40/7, 2/7, -26/7, 30/7], [2/7, 2/7, 2/7, -12/7], [-26/7, 2/7, -12/7, 16/7], [30/7, -12/7, 16/7, -26/7]], [[-19/7, 30/7, -26/7, 2/7], [30/7, -12/7, -12/7, 2/7], [-26/7, -12/7, 2/7, 16/7], [2/7, 2/7, 16/7, -26/7]], [[-19/7, 30/7, -26/7, 2/7], [30/7, -12/7, -12/7, 2/7], [-26/7, -12/7, 2/7, 16/7], [2/7, 2/7, 16/7, -26/7]], [[-19/7, 2/7, 30/7, -26/7], [2/7, -26/7, 2/7, 16/7], [30/7, 2/7, -12/7, -12/7], [-26/7, 16/7, -12/7, 2/7]], [[-40/7, -26/7, 2/7, 30/7], [-26/7, -12/7, 2/7, 16/7], [2/7, 2/7, 2/7, -12/7], [30/7, 16/7, -12/7, -26/7]]]"
9_42,"[[[-13, 2, -10, 14], [2, 1, 2, -4], [-10, 2, -5, 8], [14, -4, 8, -11]], [[-13, 2, -10, 14], [2, 1, 2, -4], [-10, 2, -5, 8], [14, -4, 8, -11]], [[-13, 2, -10, 14], [2, 1, 2, -4], [-10, 2, -5, 8], [14, -4, 8, -11]]]"
10_20,"[[[-10, 6, 2, -6], [6, -8, -2, 4], [2, -2, -2, 0], [-6, 4, 0, -4]], [[-10, 6, 2, -6], [6, -8, -2, 4], [2, -2, -2, 0], [-6, 4, 0, -4]], [[-10, 6, 2, -6], [6, -8, -2, 4], [2, -2, -2, 0], [-6, 4, 0, -4]]]"
10_22,"[[[14, 6, -10, -2], [6, 6, -6, -2], [-10, -6, 10, 2], [-2, -2, 2, 2]], [[14, 6, -10, -2], [6, 6, -6, -2], [-10, -6, 10, 2], [-2, -2, 2, 2]], [[14, 6, -10, -2], [6, 6, -6, -2], [-10, -6, 10, 2], [-2, -2, 2, 2]]]"
10_29,"[[[18, -14, -2, 6], [-14, 12, 2, -8], [-2, 2, 2, -4], [6, -8, -4, 8]], [[18, -14, -2, 6], [-14, 12, 2, -8], [-2, 2, 2, -4], [6, -8, -4, 8]], [[18, -14, -2, 6], [-14, 12, 2, -8], [-2, 2, 2, -4], [6, -8, -4, 8]]]"
10_35,"[[[-14, 10, 2, -6], [10, -10, -2, 6], [2, -2, -2, 2], [-6, 6, 2, -6]], [[-14, 10, 2, -6], [10, -10, -2, 6], [2, -2, -2, 2], [-6, 6, 2, -6]], [[-14, 10, 2, -6], [10, -10, -2, 6], [2, -2, -2, 2], [-6, 6, 2, -6]]]"
10_48,"[[[-4, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]], [[-4, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]], [[-4, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]]]"
10_65,"[[[0, -2, -2, 2], [-2, 1, 0, -2], [-2, 0, -1, 0], [2, -2, 0, -1]], [[0, -2, -2, 2], [-2, 1, 0, -2], [-2, 0, -1, 0], [2, -2, 0, -1]], [[0, -2, -2, 2], [-2, 1, 0, -2], [-2, 0, -1, 0], [2, -2, 0, -1]]]"
10_67,"[[[-2, 2, -2, -2], [2, -2, -2, 0], [-2, -2, 0, 0], [-2, 0, 0, -2]], [[-2, 2, -2, -2], [2, -2, -2, 0], [-2, -2, 0, 0], [-2, 0, 0, -2]], [[-2, 2, -2, -2], [2, -2, -2, 0], [-2, -2, 0, 0], [-2, 0, 0, -2]]]"
10_71,"[[[-4, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]], [[-4, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]], [[-4, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]]]"
