name,braid_notation
8_12,"{1,-2,1,3,-2,-4,3,-4}"
8_13,"{1,1,-2,1,-2,-2,-3,2,-3}"
9_7,"{1,1,1,1,2,-1,2,3,-2,3,3}"
10_8,"{1,1,1,1,1,-2,1,-2,-3,2,-3}"
10_69,"{-1,-1,-2,1,3,-2,-1,-4,3,-2,3,-4}"
10_84,"{1,1,1,2,-1,-3,2,2,-3,2,-3}"
10_97,"{1,1,2,-1,2,1,-3,2,-1,2,3,-4,3,-4}"
10_112,"{-1,-1,-1,2,-1,2,-1,2,-1,2}"
10_127,"{1,1,1,1,1,2,-1,-1,2,2}"
10_150,"{1,1,1,-2,1,1,3,-2,-1,3,2}"
11a_45,"{1,1,-2,1,3,2,2,-4,3,-4,-5,4,-5}"
11a_46,"{1,1,-2,1,-2,-3,2,4,-3,-3,4,4}"
11a_76,"{-1,-1,2,-1,2,-3,2,-1,-3,2,2}"
11a_90,"{-1,-1,-1,2,-1,2,3,-2,3,-4,3,-4}"
11a_118,"{-1,2,-1,2,3,-2,3,-4,3,3,3,-4}"
11a_126,"{1,1,-2,-2,3,-2,1,-2,3,3,-2}"
11a_160,"{1,1,-2,1,3,-2,-2,3,-2,-2,3}"
11a_184,"{-1,-1,-1,-1,2,-1,2,2,-3,2,-3}"
11a_213,"{1,1,1,2,-1,3,2,2,2,-4,3,-2,3,-4}"
11a_219,"{-1,-1,-2,1,-2,-3,2,2,4,-3,-2,-5,4,-3,-5}"
11a_289,"{1,1,-2,1,-2,-2,3,-2,1,-2,3}"
11a_329,"{1,1,2,-1,2,-3,-2,1,-4,3,2,2,3,4,4,3}"
11a_340,"{1,1,1,1,2,2,2,-1,2,2,3,-2,3}"
11a_342,"{1,1,1,1,1,2,-1,2,3,-2,3,4,-3,4}"
11a_348,"{1,1,1,-2,1,3,-2,1,3,-2,3}"
11n_23,"{1,1,1,2,1,1,-3,2,2,-3,-3}"
11n_48,"{-1,-1,-1,-1,-2,1,1,1,3,-2,3}"
11n_51,"{-1,-1,-1,2,1,1,3,-2,1,3,2}"
11n_184,"{1,-2,1,3,-2,-2,1,3,2,2,3}"
12a_0006,"{-1,2,-1,2,-3,-3,4,2,2,-3,4,4}"
