Name,Color List
10_75,"[[2, 3, 3, 3, 2, 3, 3, 2, 1, 3, 3, 1], [3, 3, 3, 2, 1, 2, 1, 2, 3, 3, 1, 3], [2, 3, 3, 2, 3, 2, 1, 1, 1, 3, 1, 1], [1, 3, 3, 2, 2, 2, 1, 3, 2, 3, 1, 2]]"
10_76,"[[1, 2, 3, 2, 1, 1, 3, 2, 3, 1, 1, 1]]"
10_77,"[[2, 1, 3, 3, 2, 1, 1, 2, 3, 3, 1, 2]]"
10_78,"[[2, 1, 2, 2, 1, 3, 3, 3, 2, 1, 3, 1]]"
10_82,"[[3, 1, 2, 3, 2, 2, 1, 2, 3, 1]]"
10_84,"[[2, 3, 2, 3, 1, 2, 2, 1, 1, 3, 1, 2]]"
10_85,"[[3, 1, 2, 1, 2, 3, 2, 2, 3, 1]]"
10_87,"[[3, 2, 1, 2, 1, 3, 3, 2, 3, 3, 1, 3]]"
10_89,"[[2, 1, 2, 2, 2, 3, 1, 3, 2, 3, 3, 1]]"
10_96,"[[1, 1, 2, 1, 1, 3, 2, 2, 3, 2, 3, 1]]"
10_97,"[[2, 2, 1, 1, 1, 1, 1, 3, 2, 2, 3, 3, 1, 1]]"
10_98,"[[2, 1, 3, 3, 3, 2, 1, 3, 3, 3, 1, 2], [3, 1, 2, 3, 1, 2, 1, 2, 3, 1, 3, 3], [2, 2, 2, 3, 1, 1, 2, 2, 3, 1, 1, 2], [1, 3, 2, 3, 1, 3, 3, 2, 3, 1, 2, 1]]"
10_99,"[[2, 3, 3, 3, 1, 2, 3, 3, 3, 1], [3, 2, 3, 2, 1, 2, 1, 3, 1, 3], [2, 2, 3, 2, 2, 1, 1, 3, 1, 1], [1, 2, 3, 2, 3, 3, 1, 3, 1, 2]]"
10_103,"[[2, 3, 2, 1, 2, 3, 3, 2, 1, 3, 1, 2]]"
10_106,"[[2, 1, 2, 3, 1, 3, 2, 2, 3, 1]]"
10_107,"[[2, 3, 1, 1, 2, 3, 1, 1, 3, 2, 3, 1]]"
10_108,"[[1, 2, 1, 3, 1, 3, 2, 3, 2, 3, 1, 1]]"
10_112,"[[3, 3, 3, 2, 1, 2, 2, 3, 3, 1]]"
10_113,"[[2, 2, 3, 2, 2, 2, 2, 1, 3, 1, 1, 2]]"
10_114,"[[1, 1, 2, 1, 1, 1, 3, 2, 3, 3, 1, 1]]"
10_120,"[[2, 3, 3, 2, 1, 1, 3, 3, 2, 3, 3, 1, 1, 1]]"
10_122,"[[1, 1, 3, 3, 2, 1, 1, 2, 2, 3, 1, 1]]"
10_136,"[[2, 3, 3, 1, 2, 2, 1, 2, 3, 3, 1, 2]]"
10_139,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 1]]"
10_140,"[[2, 1, 3, 3, 3, 3, 2, 3, 3, 3, 1, 2]]"
10_141,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 1]]"
10_142,"[[2, 3, 3, 3, 3, 1, 2, 3, 3, 3, 1, 2]]"
10_143,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 1]]"
10_144,"[[3, 1, 1, 1, 2, 3, 2, 3, 1, 1, 1, 3]]"
10_145,"[[2, 2, 1, 1, 3, 3, 2, 2, 3, 1, 1, 2]]"
10_146,"[[2, 2, 1, 1, 3, 2, 2, 3, 3, 1, 1, 2]]"
10_147,"[[2, 2, 3, 2, 2, 2, 1, 1, 3, 1, 1, 2]]"
10_158,"[[2, 1, 3, 2, 1, 3, 3, 2, 1, 3, 1, 2]]"
10_159,"[[3, 2, 2, 1, 2, 1, 3, 2, 3, 1]]"
10_160,"[[2, 3, 2, 1, 3, 3, 1, 2, 1, 3, 1, 2]]"
10_163,"[[2, 3, 2, 2, 3, 1, 1, 1, 3, 1, 1, 2]]"
10_164,"[[2, 3, 3, 3, 1, 3, 3, 2, 1, 3, 1, 2]]"
10_165,"[[3, 2, 3, 2, 2, 1, 1, 3, 1, 1, 1, 3]]"
11a_6,"[[2, 3, 3, 1, 3, 3, 2, 1, 2, 2, 3, 1]]"
11a_8,"[[2, 3, 3, 1, 2, 3, 2, 1, 2, 2, 3, 1]]"
11a_16,"[[2, 3, 2, 3, 1, 1, 3, 2, 1, 3, 1, 1]]"
11a_17,"[[2, 3, 3, 1, 1, 3, 2, 3, 1, 2, 3, 3, 1, 2]]"
11a_21,"[[3, 2, 2, 1, 1, 3, 2, 1, 3, 2, 2, 3, 1, 3]]"
11a_37,"[[2, 1, 3, 2, 3, 1, 1, 2, 1, 3, 1, 1]]"
11a_38,"[[3, 2, 2, 2, 2, 1, 3, 1, 3, 1, 2, 2, 3, 1]]"
11a_43,"[[2, 1, 2, 2, 1, 3, 3, 3, 3, 3, 2, 1, 3, 1], [2, 3, 2, 2, 1, 3, 2, 1, 1, 3, 2, 3, 1, 3], [1, 1, 1, 1, 2, 3, 2, 1, 1, 3, 1, 1, 1, 1], [3, 2, 3, 3, 3, 3, 2, 1, 1, 3, 3, 2, 1, 2]]"
11a_44,"[[3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 3, 1, 1, 3], [1, 3, 2, 1, 3, 3, 2, 1, 3, 2, 1, 3, 3, 1], [1, 1, 1, 2, 1, 1, 3, 2, 3, 1, 1, 1, 1, 1], [1, 2, 3, 3, 2, 2, 1, 3, 3, 3, 1, 2, 2, 1]]"
11a_45,"[[3, 2, 2, 1, 1, 2, 1, 3, 2, 2, 2, 3, 1, 3]]"
11a_46,"[[2, 3, 2, 2, 3, 1, 1, 2, 3, 1, 1, 1]]"
