name,braid_notation
9_33,"{-1,2,-1,2,2,-1,-3,2,-3}"
10_26,"{-1,-1,-1,2,-1,2,2,2,3,-2,3}"
10_39,"{1,1,1,2,-1,2,2,2,-3,2,-3}"
10_55,"{1,1,1,2,-1,-3,2,4,3,3,3,4}"
10_79,"{1,1,1,-2,-2,1,1,-2,-2,-2}"
11a_13,"{-1,2,-1,2,2,3,-2,3,4,-3,-5,4,-5}"
11a_171,"{1,1,-2,1,3,-2,3,-2,3,-2,3}"
11a_240,"{1,1,1,1,1,1,2,2,-1,2,2,2}"
11a_310,"{1,1,1,1,-2,1,3,-2,3,4,-3,4}"
11a_341,"{1,1,1,1,2,-1,2,3,-2,3,3,4,-3,4}"
11n_55,"{1,1,1,2,-1,-1,2,-3,2,-3,-3}"
11n_89,"{-1,-1,-1,2,-1,-3,-2,1,-2,-2,-3}"
12a_0175,"{-1,2,-3,4,-1,4,3,-4,5,-4,2,-4,-3,-5,-5}"
12a_0203,"{-1,2,-3,4,-1,-3,-3,-3,4,2,-3,2}"
12a_0260,"{-1,2,-3,-1,-2,3,-4,3,-2,3,-4,3,3,2}"
12a_0319,"{-1,2,2,3,1,3,1,2,-3,4,2,2,2,-3,4,3}"
12a_0359,"{1,-2,3,-4,1,1,-2,3,-2,-4,3,-4}"
12a_0395,"{1,-2,-3,-3,-2,1,1,2,-3,-4,3,-4,-2,-2,-2,3}"
12a_0429,"{-1,2,2,-3,-4,3,1,-4,1,2,-3,2,2,-3}"
12a_0505,"{-1,2,-3,-1,2,-3,-4,-3,2,-4,3,-4,-3,2}"
12a_0528,"{1,-2,3,-4,-2,-4,3,-2,-4,1,1,-2}"
12a_0575,"{1,-2,3,1,1,2,2,2,3,3,4,-3,4,3}"
12a_0744,"{-1,-2,-3,-4,5,5,-4,5,-4,-3,4,-2,-1,2,3}"
12a_0759,"{1,-2,1,2,-3,-3,-3,-3,-3,-3,2,2,-3}"
12a_0768,"{1,-2,-3,4,1,-2,4,-2,-2,3,-2,-3,-3,4}"
12a_0862,"{-1,2,-1,-2,3,2,-3,-4,3,2,-4,-3,2,-3,-3,-3}"
12a_0904,"{1,-2,1,2,-3,2,-3,2,2,2,-3,2,-3}"
12a_0972,"{-1,2,3,3,2,-1,2,-3,-1,-1,-1,2,-1}"
12a_1002,"{1,-2,-2,-2,1,-2,1,1,-2,1,-2,-2}"
12a_1059,"{-1,2,3,3,3,3,2,2,-1,2,-3,2,2}"
12a_1060,"{-1,-1,2,2,2,-3,-1,2,-1,2,2,3,3}"
12a_1102,"{-1,2,-3,4,-3,2,-1,2,-3,2,4,-3}"
12a_1216,"{-1,-1,-1,2,-1,2,-1,-3,2,-1,2,3,3}"
12a_1273,"{-1,2,-1,-1,-1,-1,-1,2,2,2,2,2}"
12n_0008,"{-1,2,-1,2,3,-4,2,2,3,3,3,-4}"
12n_0011,"{-1,2,3,-1,-2,3,2,4,5,-3,-4,5,-4}"
12n_0162,"{1,2,2,1,1,-2,3,-4,-2,3,-2,-4}"
12n_0215,"{-1,2,2,3,1,3,1,-2,3,4,-3,4,-2,3}"
12n_0315,"{1,-2,3,3,2,-1,2,-3,-1,-1,-1,-2,1}"
12n_0327,"{-1,-1,-1,-2,-2,-3,-1,-3,2,-1,2,2,3}"
12n_0356,"{-1,2,3,4,-1,-2,-3,4,-3,2,-3,4}"
12n_0593,"{1,-2,1,2,-3,4,2,4,3,3,2,-4,3,-4}"
12n_0704,"{-1,2,-3,4,-1,-3,2,-3,-2,3,4,-3,-2,4}"
12n_0709,"{1,-2,-2,-2,1,-2,1,-2,1,2,2,2}"
12n_0724,"{1,-2,3,1,3,1,1,1,2,-3,2,-1,2}"
12n_0761,"{-1,2,3,-4,-1,3,2,2,3,3,-4,2,3,-2}"
12n_0793,"{-1,2,3,-1,3,3,3,2,-3,-3,2,2,3}"
