name,braid_notation
11a_2,"{1,1,-2,1,3,3,2,2,3,-4,3,-4}"
11a_52,"{1,1,1,2,-1,2,-3,2,-3,-3,-2,-4,3,-4}"
11a_80,"{-1,-1,2,-1,2,-1,2,2,-3,2,-3}"
11a_116,"{1,1,1,2,-1,-3,-2,1,4,3,-2,3,4,4}"
11a_127,"{1,1,-2,1,1,-2,1,3,-2,3,3}"
11a_270,"{1,1,2,-1,2,-3,-3,-2,-4,3,-2,3,-4,3}"
12a_0118,"{-1,2,-3,-4,-1,2,-4,5,5,-4,-3,4,5}"
12a_0274,"{1,-2,-2,-2,-2,1,-2,3,-2,-2,1,-3,-3}"
12a_0304,"{-1,2,-3,4,-1,-3,-3,-3,4,-3,2,-3}"
12a_0533,"{1,-2,1,-2,3,-2,-2,-2,-2,-3,-3,-2,1}"
12a_0536,"{-1,2,-3,4,-1,2,4,4,4,-3,2,4}"
12a_0610,"{1,1,1,2,-1,3,-2,1,3,2,2,4,-3,4,5,-4,5}"
12a_0748,"{-1,2,2,1,1,2,-3,2,-3,-3,-3,4,3,-2,3,-4}"
12a_0795,"{1,-2,1,2,2,3,-4,3,3,3,-4,2,-3,2}"
12a_0825,"{1,-2,-2,-2,-3,1,-3,1,1,-2,3,-2,1}"
12a_1009,"{-1,2,3,-1,3,2,-3,2,-1,2,2,2,2}"
12a_1039,"{-1,-1,-1,2,-3,4,-1,2,-3,4,4,4}"
12a_1153,"{-1,2,3,-1,-2,3,2,-4,2,2,2,2,3,-4}"
12a_1169,"{-1,2,3,-1,3,-2,3,-2,-2,-2,3,3,-2}"
12a_1223,"{1,1,1,-2,1,1,1,-2,-2,1,1,-2}"
12n_0209,"{-1,2,3,3,2,1,1,1,2,-3,2,2,-1}"
12n_0213,"{-1,2,3,3,2,2,1,1,1,2,-3,2,-1}"
12n_0765,"{1,-2,-3,1,2,3,3,-4,3,2,2,3,3,-4}"
