name,braid_notation
11a_11,"{-1,-1,2,-1,2,3,3,-2,3,-4,3,-4}"
11a_20,"{1,1,-2,1,3,2,2,-4,3,3,3,-4}"
11a_48,"{-1,-1,-1,-2,1,-2,3,-2,-2,-4,3,-4}"
11a_83,"{1,1,1,-2,1,1,-2,3,-2,3,3}"
11a_129,"{-1,-1,-1,2,-1,-1,-3,2,-1,-3,2}"
11a_167,"{-1,2,-1,2,2,-1,2,3,-2,-4,3,-4}"
12a_0152,"{1,2,3,4,4,5,3,5,-4,5,3,2,1,-2,-3}"
12a_0370,"{-1,-2,-2,-2,-2,3,3,-2,-2,-2,-1,2,3}"
12a_0521,"{1,-2,3,1,3,3,-4,3,-4,3,-2,3}"
12a_0644,"{1,-2,1,2,-3,-4,-5,4,-5,-4,3,-4,2,2,-3}"
12a_0720,"{1,-2,-3,1,-3,-2,-2,-2,-2,-2,3,-2,1}"
12a_0740,"{-1,2,3,-4,3,-4,3,-2,3,1,3,1,3,2}"
12a_0758,"{1,-2,1,2,3,-4,3,-4,-4,-4,3,2,2,-3}"
12a_1021,"{1,2,2,-3,4,2,-3,1,2,4,-3,4,-3,-2}"
12a_1028,"{1,1,1,-2,-2,-2,-3,1,-3,-2,3,-2,1}"
12a_1051,"{1,-2,1,1,1,1,1,-2,-2,1,1,-2}"
12a_1107,"{1,-2,1,2,-3,-3,-3,2,-3,-3,2,-3,-3}"
12a_1159,"{-1,2,-3,-4,2,3,-4,-3,2,1,1,2,2,2}"
12n_0325,"{1,-2,3,-1,3,-2,1,-2,3,1,-2,1,-2}"
12n_0384,"{-1,2,2,3,1,3,1,2,-3,-4,2,3,-4,3}"
12n_0427,"{1,1,-2,-3,1,2,2,3,1,3,-2,1,-2}"
12n_0589,"{1,-2,1,2,3,3,3,2,-1,2,-3,2,2}"
12n_0711,"{1,-2,1,2,3,-2,3,-2,3,-2,-2,-2,3}"
12n_0816,"{-1,2,-3,-4,-1,3,3,-2,-2,3,-4,3,-2,3}"
12n_0834,"{1,-2,1,2,3,-2,3,4,4,3,-2,3,3,-4}"
