name,braid_notation
12a_0040,"{1,-2,-2,-3,4,1,4,1,-3,2,2,3,4,-2}"
12a_0073,"{-1,2,-1,2,3,-4,5,3,2,2,-3,4,-3,-4,5}"
12a_0399,"{1,-2,-3,-4,-4,-3,2,-3,4,-3,1,-3,1,-2}"
12a_0412,"{-1,2,-1,-2,-2,-2,-3,4,4,-3,-2,-2,3,-4,3,4}"
12a_0432,"{-1,2,2,3,1,3,1,-2,3,4,2,2,2,-3,4,3}"
12a_0489,"{1,-2,-3,4,-5,1,-2,3,4,-2,3,3,3,4,-5}"
12a_0526,"{-1,2,-1,-1,2,-3,2,2,3,3,2,-1,2}"
12a_0559,"{1,-2,-3,4,1,2,-3,4,4,3,3,-2,-3,4,-3,2}"
12a_0598,"{1,1,1,2,-3,2,-1,2,2,-3,-3,-3,2}"
12a_0747,"{1,-2,-3,4,1,-2,4,3,-2,-2,-2,-3,-3,4}"
12a_0932,"{-1,2,2,-3,4,2,-3,2,-4,-1,2,-3,2,-4}"
12a_0954,"{-1,2,2,2,3,3,2,-1,2,-3,-1,2,-1}"
12a_1263,"{1,-2,1,2,-3,2,-3,-4,-4,-3,2,-3,-3,4}"
