name,gauss_notation
12a_0335,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 7, -4, 10, -11, 9, -8, 12, -10, 5, -6, 11, -12}"
12a_0402,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 7, -4, 9, -12, 11, -6, 5, -10, 12, -8}"
12a_0457,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 5, -10, 11, -8, 9, -4, 12, -11, 7, -6, 10, -12}"
12a_0467,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -6, 9, -10, 11, -8, 7, -12, 10, -4, 5, -9, 12, -11}"
12a_0755,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 7, -8, 11, -4, 12, -6, 9, -10, 5, -12}"
12a_0915,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 2, -9, 10, -6, 11, -5, 4, -12, 7, -10, 9, -8, 12, -11}"
12a_1096,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 4, -11, 9, -12, 7, -5, 2, -10, 11, -8, 12, -6}"
