name,gauss_notation
7_6,"{1, -2, 3, -4, 5, -6, 7, -3, 2, -7, 6, -1, 4, -5}"
8_4,"{-1, 2, -3, 4, -5, 6, -7, 8, -4, 1, -2, 3, -8, 7, -6, 5}"
9_3,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -1, 2, -5, 4, -3, 6, -7, 8, -9}"
9_38,"{-1, 2, -3, 4, -5, 6, -7, 3, -4, 8, -9, 5, -2, 1, -6, 9, -8, 7}"
10_14,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -5, 4, -10, 2, -1, 10, -3, 6, -7, 8, -9}"
10_31,"{-1, 2, -3, 4, -2, 1, -5, 6, -7, 8, -9, 5, -10, 3, -4, 10, -6, 9, -8, 7}"
10_63,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -7, 8, -9, 10, -8, 6, -5, 4, -3, 9, -10}"
10_68,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -1, 2, -9, 10, -5, 4, -3, 8, -7, 6, -10}"
10_76,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 10, -2, 1, -8, 9, -10, 7, -4, 5, -6, 3}"
10_85,"{-1, 2, -3, 4, -5, 1, -2, 6, -4, 7, -8, 9, -10, 5, -6, 3, -7, 8, -9, 10}"
10_116,"{-1, 2, -3, 4, -5, 6, -7, 1, -8, 3, -6, 9, -10, 7, -2, 8, -4, 5, -9, 10}"
10_126,"{1, -2, -3, 4, 5, -1, 2, -5, -6, 7, -8, 9, -10, 6, -4, 3, -7, 8, -9, 10}"
10_133,"{-1, 2, -3, 1, -4, -5, 6, -7, 5, -8, 9, -6, 7, 10, -2, 3, 8, -9, -10, 4}"
11a_7,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -9, 10, -5, 6, -11, 7, -8, 9, -10, 11}"
11a_14,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 4, -5, 6, -9, 10, -7, 8, -11, 9, -10, 11}"
11a_33,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -10, 4, -5, 6, -7, 8, -11, 10, -9, 11}"
11a_82,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 4, -9, 10, -11, 6, -5, 9, -10, 11, -7, 8}"
11a_155,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 6, -9, 10, -7, 8, -11, 4, -10, 9, -5, 11}"
11a_161,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -7, 6, -9, 10, -11, 4, -5, 9, -10, 11}"
11a_179,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 4, -5, 6, -7, 8, -11, 10, -9, 11}"
11a_186,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -9, 4, -5, 6, -10, 11, -7, 8, -11, 10}"
11a_193,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 4, -11, 10, -9, 6, -7, 8, -5, 11}"
11a_215,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 6, -11, 8, -9, 4, -5, 11, -7, 10}"
11a_228,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 10, -7, 11, -5, 4, -9, 8, -11, 6}"
11a_241,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 11, -2, 3, -9, 10, -11, 4, -7, 6, -5, 8}"
11a_247,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 11, -2, 3, -11, 10, -9, 8, -7, 6, -5, 4}"
11a_251,"{-1, 2, -3, 4, -5, 1, -2, 3, -6, 7, -8, 5, -4, 9, -10, 6, -11, 8, -9, 10, -7, 11}"
11a_253,"{-1, 2, -3, 4, -5, 1, -2, 3, -6, 7, -8, 5, -4, 9, -7, 10, -11, 6, -9, 8, -10, 11}"
11a_256,"{-1, 2, -3, 4, -5, 1, -6, 3, -7, 8, -9, 5, -10, 11, -4, 9, -8, 7, -2, 6, -11, 10}"
11a_266,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -9, 5, -10, 6, -11, 8, -4, 9, -2, 11, -7, 10}"
11a_271,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -9, 5, -7, 10, -11, 8, -4, 9, -2, 11, -10, 6}"
11a_314,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 3, -10, 8, -11, 5, -2, 6, -7, 10, -9, 11}"
11a_325,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 3, -2, 11, -9, 5, -4, 10, -11, 8, -7, 6}"
11a_360,"{-1, 2, -3, 4, -5, 6, -7, 1, -8, 9, -10, 11, -6, 3, -4, 5, -2, 7, -11, 10, -9, 8}"
