name,braid_notation
10_73,"{-1,-1,-2,1,-2,-1,3,-2,3,-4,3,-4}"
10_83,"{-1,-1,-2,1,-2,3,-2,-2,3,-2,3}"
10_110,"{1,-2,1,3,2,2,2,-4,-3,2,-3,-4}"
11a_50,"{1,1,1,2,-1,-3,2,4,3,3,-5,4,-5}"
11a_75,"{-1,2,-1,2,2,2,2,3,-2,-4,3,-4}"
11a_145,"{-1,-1,-2,1,-2,-2,-3,2,4,-3,-5,4,-5}"
11a_191,"{1,1,1,1,1,2,-1,2,2,3,-2,3,3}"
11a_307,"{-1,-1,-1,2,-1,2,-3,2,-3,-4,3,-4}"
11a_323,"{1,1,2,-1,-3,-3,4,-3,2,-3,4,-3}"
11n_177,"{-1,2,-1,2,-1,3,2,-1,2,2,3}"
12a_0233,"{1,-2,3,-4,1,-2,-2,3,-4,3,-2,3}"
12a_0334,"{-1,2,-3,-4,-1,-2,3,3,-4,3,-2,-4,3,3}"
12a_0415,"{-1,2,-3,4,-1,4,-3,2,-3,4,-3,4}"
12a_0538,"{-1,2,-1,2,3,3,2,2,2,2,2,2,-3}"
12a_0567,"{-1,2,-1,2,-1,3,-1,3,3,2,-1,2,-3}"
12a_0797,"{-1,-2,3,4,5,5,4,-5,4,-3,4,2,-1,2,3}"
12a_0804,"{1,2,2,1,1,2,3,-4,3,-2,3,-4,3,-4}"
12a_0839,"{1,-2,1,2,2,2,2,-3,2,2,2,-3,2}"
12a_0903,"{-1,2,3,3,-4,2,1,1,-2,3,-2,3,3,-4,3,2}"
12a_1027,"{1,-2,-2,-2,-2,1,1,1,1,-2,-2,-2}"
12a_1057,"{1,2,-3,2,3,-4,3,2,-4,-5,1,-4,-2,3,-4,5,-4}"
12n_0002,"{-1,2,-1,2,3,3,-4,2,2,3,-4,-4}"
12n_0075,"{-1,-1,-1,-2,-2,1,-2,3,2,2,-1,3,3}"
12n_0181,"{1,-2,3,1,3,-2,1,1,-2,-2,-3,-2,1}"
12n_0216,"{1,-2,-2,1,1,2,-3,-4,-2,-2,-2,3,-4,-3}"
12n_0272,"{-1,2,3,-1,-2,-2,3,-4,-2,3,-4,-4}"
12n_0406,"{1,-2,1,2,3,3,3,4,2,-3,2,4,3,3}"
12n_0465,"{-1,2,-1,2,-3,-3,4,-2,3,3,-2,3,4,3}"
12n_0479,"{-1,2,-3,-4,2,3,-4,3,-2,3,1,4,1,2}"
12n_0530,"{-1,-2,3,-2,3,-2,4,1,1,-2,3,-2,3,4}"
12n_0541,"{-1,2,3,3,-2,1,-2,-3,-1,-1,-1,2,-1}"
12n_0569,"{-1,-1,-1,2,2,3,-1,3,-1,-2,1,-2,-3}"
