name,braid_notation
7_6,"{1,1,-2,1,3,-2,3}"
8_4,"{-1,-1,-1,2,-1,2,3,-2,3}"
9_3,"{1,1,1,1,1,1,1,2,-1,2}"
9_38,"{1,1,2,2,-3,2,-1,2,3,3,2}"
10_14,"{1,1,1,1,1,2,-1,2,-3,2,-3}"
10_31,"{1,1,1,2,-1,-3,2,-3,-3,-4,3,-4}"
10_63,"{1,1,-2,1,3,2,2,2,3,4,-3,4}"
10_68,"{1,1,-2,1,-2,-2,-3,2,2,-4,3,-2,-4,-3}"
10_76,"{1,1,1,1,2,-1,-3,2,2,2,-3}"
10_85,"{-1,-1,-1,-1,2,-1,-1,2,-1,2}"
10_116,"{-1,-1,2,-1,-1,2,-1,2,-1,2}"
10_126,"{-1,-1,-1,-1,-1,-2,1,1,1,-2}"
10_133,"{1,1,1,2,-1,-1,2,3,-2,3,3}"
11a_7,"{-1,-1,-1,-1,2,2,-1,2,-3,2,-3}"
11a_14,"{1,1,-2,-2,1,-2,3,-2,-2,3,3}"
11a_33,"{1,1,-2,-2,1,-2,-2,-2,3,-2,3}"
11a_82,"{1,1,-2,1,-2,-2,3,-2,-2,-2,3}"
11a_155,"{-1,-1,-2,1,3,2,-1,-4,-3,2,2,-3,-3,-4}"
11a_161,"{-1,-1,-1,2,-1,-1,2,3,-2,-4,3,-4}"
11a_179,"{-1,2,-1,2,2,2,2,2,-3,2,-3}"
11a_186,"{1,1,1,2,-1,2,2,2,2,3,-2,3,3}"
11a_193,"{-1,-1,-1,-1,-2,1,3,-2,3,-4,3,-4}"
11a_215,"{1,1,-2,1,1,3,-2,1,-2,3,3}"
11a_228,"{-1,2,-1,-3,-2,4,3,-2,3,3,-5,4,-5}"
11a_241,"{1,1,1,1,2,2,-1,2,2,2,3,-2,3}"
11a_247,"{1,1,1,2,-1,2,3,-2,3,4,-3,4,5,-4,5}"
11a_251,"{1,1,1,1,-2,-2,-1,-3,2,-3,2,-3,-3}"
11a_253,"{-1,-1,2,-1,2,-1,-3,2,2,2,-3}"
11a_256,"{-1,-1,-2,1,3,-2,-4,3,-2,3,-4,3}"
11a_266,"{-1,2,-1,2,-3,2,-1,-3,2,-3,2}"
11a_271,"{1,1,-2,1,-2,1,3,-2,-1,4,-3,2,4,3}"
11a_314,"{1,1,-2,1,-2,1,3,-2,1,-2,3}"
11a_325,"{-1,-1,-2,1,-3,-2,-2,4,-3,2,-3,4,5,-4,5}"
11a_360,"{1,1,1,1,2,-1,2,2,3,-2,3,4,-3,4}"
11n_2,"{1,1,1,2,-1,2,3,2,2,-4,3,-4}"
11n_27,"{1,1,1,2,1,1,-3,2,2,2,-3}"
11n_82,"{1,1,1,1,-2,-1,-1,-1,3,-2,3}"
11n_94,"{1,1,2,-1,-3,2,-1,-3,2,2,-3}"
11n_109,"{-1,-1,-1,2,-1,-1,-3,-2,1,-2,-3}"
11n_123,"{1,1,-2,1,3,-2,-1,-4,-3,2,-3,-4}"
11n_137,"{-1,-1,-1,-1,-2,1,-2,-1,3,-2,1,-2,3}"
11n_153,"{-1,-1,-1,2,-1,2,3,2,-1,2,3}"
11n_178,"{1,-2,1,-2,3,-2,1,3,2,2,3}"
12a_0002,"{-1,2,-1,2,3,-4,3,3,3,-4,3,-2,-2,-3}"
12a_0037,"{-1,2,-1,2,3,4,-3,4,4,4,3,2,2,-3}"
12a_0086,"{1,-2,-2,1,1,-2,3,-2,-3,-3,-4,3,-4,-3}"
12a_0116,"{1,-2,-2,-3,1,1,2,3,-4,-2,-2,3,-2,-4}"
12a_0122,"{1,-2,-2,3,-4,1,1,-2,-2,-2,3,-4}"
12a_0155,"{-1,2,2,-3,4,-3,4,-5,-4,3,2,1,-4,5,2,-3,2}"
12a_0164,"{1,2,2,1,1,-2,-3,4,2,4,-3,-3,-3,4}"
12a_0166,"{1,2,2,1,1,-2,-3,-3,-3,4,2,4,-3,4}"
12a_0177,"{-1,2,-3,-1,-3,2,-3,4,-3,4,-5,-4,3,-4,5}"
12a_0182,"{-1,2,-1,2,-3,4,4,-3,-3,-3,4,-2,-2,3}"
12a_0185,"{-1,2,-3,-1,2,2,-3,4,2,-3,4,4}"
12a_0198,"{-1,2,-3,4,-1,2,4,-3,2,4,-5,4,-5,-3,-4}"
12a_0213,"{-1,2,-3,4,-1,-3,4,2,-3,2,4,4}"
12a_0243,"{-1,2,3,-4,5,-1,5,-4,3,-4,5,2,-3}"
12a_0290,"{-1,2,2,3,-1,3,-1,2,-1,2,2,2,-3}"
12a_0298,"{1,-2,3,-4,-2,3,-4,1,1,-2,-2,-2}"
12a_0321,"{-1,2,-3,2,2,1,1,1,2,2,2,-3,2}"
12a_0330,"{1,-2,1,2,3,-4,-5,3,4,-5,4,3,2,2,-3}"
12a_0332,"{-1,2,-1,-2,-3,4,-5,-3,-2,-2,3,4,-3,4,-5}"
12a_0340,"{-1,2,-3,4,-1,2,4,-3,2,4,5,-3,-4,3,5}"
12a_0367,"{1,1,1,2,2,2,2,3,1,3,-2,3,1}"
12a_0382,"{-1,2,-3,4,-1,-3,4,-3,2,-3,-3,-3}"
12a_0403,"{-1,2,-3,-4,5,-1,-3,-4,2,3,3,4,4,5,-3}"
12a_0408,"{-1,-2,3,-4,3,2,2,1,1,-2,3,2,-4,2,2,3}"
12a_0410,"{1,-2,1,2,2,2,3,-4,-3,-3,2,2,3,-4,3,3}"
12a_0418,"{-1,2,-3,-1,2,-3,4,-3,-3,2,-3,4}"
12a_0421,"{1,-2,1,2,3,3,4,2,2,-3,4,5,-4,5,4}"
12a_0438,"{-1,2,-1,2,-3,2,-3,-2,3,-2,3,-4,3,-4}"
12a_0445,"{1,-2,3,-4,1,-4,1,-2,-2,-2,3,-4}"
12a_0466,"{-1,2,-3,-4,-1,-2,-2,3,-4,-2,-2,3,-2,3}"
12a_0470,"{1,-2,3,4,1,-2,4,-2,-2,-3,2,4,3,3}"
12a_0493,"{-1,2,3,-1,3,-4,3,3,3,-2,3,-2,-4,-3}"
12a_0497,"{1,-2,3,-4,-2,3,-4,3,-2,1,1,-2}"
12a_0520,"{-1,2,3,-2,3,3,-4,3,-4,3,2,1,1,2}"
12a_0524,"{1,-2,3,-4,5,1,-3,-4,5,4,-3,4,-2,4,3}"
12a_0562,"{1,-2,-3,-4,5,1,2,-3,2,5,3,-4,5,-3,2}"
12a_0599,"{-1,-1,-1,-2,3,3,-2,-2,1,-2,3,-2,-1}"
12a_0619,"{1,1,1,2,-1,2,-3,2,2,4,-3,-2,4,5,-4,-3,5}"
12a_0625,"{-1,2,-3,-4,5,-1,3,5,-2,-4,3,-2,-4,5,3}"
12a_0675,"{-1,2,3,3,-2,3,-1,3,3,2,-1,2,2}"
12a_0686,"{-1,2,2,3,-4,3,2,2,1,1,2,-3,2,-4}"
12a_0688,"{-1,2,3,-1,3,-2,3,3,3,2,-1,2,2}"
12a_0721,"{1,-2,-2,-2,-3,4,4,-3,2,-3,4,-1,-1,-2}"
12a_0728,"{-1,-1,-1,2,-1,2,-3,2,2,3,3,2,-1}"
12a_0732,"{1,-2,-2,-2,-3,-4,2,3,-4,-3,-2,1,1,-2}"
12a_0764,"{-1,2,-3,-4,2,3,-4,3,2,1,1,2,2,2}"
12a_0785,"{1,2,-3,4,2,2,1,1,-2,-3,2,4,-3,4}"
12a_0793,"{-1,2,-3,4,-1,-3,4,2,-3,4,-3,4}"
12a_0796,"{1,-2,3,-4,1,3,3,3,3,3,-4,2,-3,2}"
12a_0815,"{1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2}"
12a_0854,"{-1,2,3,-4,3,-4,3,-4,-2,-4,1,3,1,2}"
12a_0855,"{1,1,1,-2,-3,-3,-2,1,-2,3,1,-2,1}"
12a_0900,"{-1,2,2,-3,4,2,2,3,1,3,1,2,-3,2,3,4}"
12a_0918,"{1,-2,-3,1,-3,2,-3,-4,2,2,3,-4,-4,-4}"
12a_0938,"{-1,2,-3,-2,3,-2,3,1,3,1,3,3,4,-3,2,4}"
12a_0956,"{1,-2,1,-2,-2,-2,3,-2,1,-2,-2,-3,-3}"
12a_0978,"{-1,2,3,3,-4,3,3,-2,3,1,-4,3,1,2}"
12a_0986,"{1,-2,1,1,-2,3,1,-2,1,-2,-3,-3,-2}"
12a_0991,"{1,-2,-3,1,-2,-2,-2,-3,4,-3,-3,2,-3,4}"
12a_0999,"{1,-2,-2,1,1,-2,-2,-2,1,1,-2,-2}"
12a_1019,"{-1,2,-3,4,-1,2,-3,-1,2,4,-3,4}"
12a_1050,"{1,-2,-3,4,-3,2,-3,2,4,3,1,-2,3,-2}"
12a_1055,"{-1,-2,3,-2,3,3,4,-5,-3,-4,-2,-1,2,3,-4,5,4}"
12a_1056,"{-1,-1,2,2,-3,-1,2,-1,2,2,3,3,2}"
12a_1077,"{1,-2,-3,4,-3,4,2,-3,-1,-3,4,-1,-3,-2}"
12a_1109,"{-1,2,2,-1,2,2,3,-1,3,2,-1,2,-3}"
12a_1114,"{1,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2}"
