name,braid_notation
10_30,"{1,1,2,-1,2,2,3,-2,3,-4,3,-4}"
10_51,"{-1,-1,-2,1,-2,-2,3,-2,-2,3,3}"
10_70,"{1,-2,1,3,-2,-2,-2,-4,3,-4}"
10_93,"{-1,-1,2,-1,-1,2,-1,2,3,-2,3}"
11a_154,"{1,1,1,2,-1,-3,2,-3,-4,3,5,-4,5}"
11a_188,"{-1,-1,-2,1,3,-2,3,3,3,-4,3,-4}"
11a_211,"{-1,-1,-2,1,-2,-3,2,-3,4,-3,-5,4,-5}"
11n_7,"{1,1,1,2,-1,3,-2,3,-2,-4,3,-4}"
11n_36,"{-1,-1,2,-1,2,-1,3,2,2,3,3}"
11n_44,"{-1,-1,2,-1,2,-1,3,2,2,2,3}"
11n_131,"[{-1,2,-1,2,3,-2,-2,-4,-3,2,-3,-4},{-1,-2,-3,-3,2,2,-1,-1,2,3,-2,-1,2}]"
11n_160,"{1,1,2,-1,2,-3,2,-1,2,-3,2}"
12a_0016,"{-1,2,-1,2,-3,4,-3,4,-3,2,2,-3}"
12a_0079,"{1,-2,-2,1,1,-2,3,-2,3,-4,3,-2,3,4}"
12a_0114,"{-1,2,3,4,-1,4,5,3,5,3,4,2,-3,-4,5}"
12a_0117,"{1,-2,-3,1,2,2,-3,4,2,4,5,3,5,-4,5}"
12a_0229,"{-1,2,3,-4,-1,3,-4,-5,-4,3,-4,2,5,-3,2}"
12a_0308,"{-1,2,-3,-4,-1,3,-4,2,-5,-3,2,4,-3,4,5}"
12a_0369,"{1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2}"
12a_0483,"{-1,2,-3,-4,-1,-2,3,-2,-4,3,-2,-4,3,3}"
12a_0494,"{1,-2,3,-4,-5,2,2,3,-4,-1,-2,3,-4,5,-4,3,-2}"
12a_0635,"{1,-2,-3,-4,5,1,3,5,-2,-4,5,3,-2,-3,-3}"
12a_0669,"{1,-2,1,2,3,-4,-4,3,-4,2,-4,2,-4,-3}"
12a_0685,"{-1,2,2,1,1,2,3,-2,3,4,4,-3,2,2,-3,-4}"
12a_0809,"{-1,2,-1,2,3,3,3,3,3,2,-1,2,-3}"
12a_0812,"{-1,2,3,-2,3,2,-4,1,1,2,-3,2,2,2,3,-4}"
12a_0861,"{1,-2,-3,1,-3,-2,-2,-2,3,-2,1,-2,-2}"
12a_0936,"{1,-2,3,3,-2,-1,-1,-2,3,4,-3,4,-2,3}"
12a_1080,"{-1,2,3,-1,3,-2,3,-4,3,3,2,2,3,-4}"
12a_1165,"{1,-2,3,-4,-5,1,3,3,3,4,-5,-4,2,-3,2}"
12a_1272,"{-1,-1,-1,2,-1,2,-3,2,-1,2,2,3,3}"
12a_1279,"{1,2,3,-4,-5,-5,-4,5,-4,3,-4,2,1,-2,-3}"
12n_0038,"{-1,2,-1,2,3,-4,-4,3,-4,-2,-2,3}"
12n_0080,"{-1,-2,-2,1,1,1,-2,3,-2,-2,-1,-3,-3}"
12n_0114,"{1,1,1,2,2,-1,-1,2,2,2,2,2}"
12n_0165,"{1,-2,-2,1,1,2,-3,4,2,4,-3,4}"
12n_0167,"{-1,-2,-2,-2,-2,1,-2,3,2,2,-1,3,3}"
12n_0277,"{1,2,-3,-3,-2,1,-2,-3,-1,2,2,2,1}"
12n_0301,"{-1,2,3,-4,-1,2,-4,2,2,3,2,-4}"
12n_0324,"{-1,-2,3,3,-2,1,1,-2,3,4,-2,-3,4,3}"
12n_0341,"{1,-2,1,2,3,4,-3,4,3,2,2,3,3,3}"
12n_0345,"{1,1,1,-2,-2,-2,-2,1,1,2,2,2}"
12n_0396,"{-1,2,-3,4,-1,-3,-3,-2,3,-2,3,4,-3,2}"
12n_0512,"{-1,-2,-3,1,-3,-2,-2,1,-2,3,-2,-1,2}"
