name,gauss_notation
8_12,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 6, -7, 8, -5, 4, -8, 7}"
8_13,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -7, 8, -5, 4, -3, 6, -8}"
9_7,"{-1, 2, -3, 4, -5, 6, -7, 5, -2, 3, -4, 1, -8, 9, -6, 7, -9, 8}"
10_8,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -3, 2, -1, 10, -5, 6, -7, 8, -9, 4, -10}"
10_69,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 6, -9, 3, -2, 9, -10, 5, -4, 10, -7, 8}"
10_84,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -7, 8, -5, 9, -10, 6, -8, 4, -9, 10}"
10_97,"{-1, 2, -3, 4, -5, 6, -7, 5, -8, 9, -2, 7, -6, 1, -10, 8, -4, 3, -9, 10}"
10_112,"{-1, 2, -3, 4, -5, 6, -7, 8, -2, 9, -4, 10, -8, 1, -9, 3, -10, 5, -6, 7}"
10_127,"{1, -2, -3, 4, 5, -1, 2, -5, 6, -7, 8, -9, 10, -6, -4, 3, 7, -8, 9, -10}"
10_150,"{1, -2, 3, -4, 5, -3, -6, 7, -8, 6, 9, -10, -7, 8, 2, -1, 10, -9, 4, -5}"
11a_45,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -5, 4, -10, 11, -9, 8, -7, 6, -11, 10}"
11a_46,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -10, 4, -5, 10, -9, 8, -11, 6, -7, 11}"
11a_76,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 6, -7, 10, -11, 8, -5, 9, -10, 11}"
11a_90,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 10, -11, 6, -7, 8, -5, 11, -10, 9}"
11a_118,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -7, 4, -9, 10, -11, 6, -5, 9, -10, 11}"
11a_126,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -10, 4, -7, 8, -9, 11, -5, 6, -11, 10}"
11a_160,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -10, 6, -7, 11, -9, 4, -5, 10, -11, 8}"
11a_184,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 4, -11, 6, -7, 8, -9, 11, -5, 10}"
11a_213,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 11, -9, 4, -5, 8, -11, 10, -7, 6}"
11a_219,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 10, -11, 6, -5, 4, -9, 8, -7, 11}"
11a_289,"{-1, 2, -3, 4, -5, 1, -6, 7, -4, 3, -8, 9, -7, 10, -11, 5, -2, 8, -9, 6, -10, 11}"
11a_329,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 3, -10, 8, -7, 11, -2, 5, -9, 10, -11, 6}"
11a_340,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 11, -4, 3, -2, 5, -9, 10, -11, 6, -7, 8}"
11a_342,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 11, -2, 3, -4, 5, -11, 10, -9, 8, -7, 6}"
11a_348,"{-1, 2, -3, 4, -5, 1, -6, 7, -4, 8, -2, 6, -9, 10, -11, 5, -8, 3, -7, 9, -10, 11}"
11n_23,"{-1, 2, -3, 1, 4, -5, -2, 3, 6, -7, 8, -4, 5, -6, 9, -10, 7, -8, 11, -9, 10, -11}"
11n_48,"{-1, 2, -3, 1, 4, -5, 6, 3, -2, -7, 8, -4, 9, -10, 11, -6, 7, -8, 5, -9, 10, -11}"
11n_51,"{-1, 2, -3, 1, -4, 5, -2, 3, 6, -7, 8, -9, -5, 4, 10, -6, 11, -8, 7, -11, 9, -10}"
11n_184,"{-1, 2, 3, -4, -5, 1, -6, 7, -2, 5, -8, 9, -10, -3, 4, 11, -9, 6, -7, 10, -11, 8}"
12a_0006,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 5, -6, 9, -10, 11, -7, 8, -11, 12, -9, 10, -12}"
12a_0026,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 11, -6, 5, -11, 12, -7, 8, -9, 10, -12}"
12a_0043,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 5, -4, 8, -9, 10, -6, 7, -8, 11, -12, 9, -10, 12, -11}"
12a_0048,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -4, 5, -9, 10, -6, 11, -8, 12, -10, 9, -12, 7, -11}"
12a_0060,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -4, 5, -9, 7, -10, 11, -6, 9, -8, 12, -11, 10, -12}"
12a_0085,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -4, 5, -6, 11, -12, 7, -8, 9, -10, 12, -11}"
12a_0106,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 5, -4, 9, -8, 10, -11, 12, -6, 7, -12, 11, -10}"
12a_0187,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -7, 8, -6, 9, -10, 11, -4, 12, -8, 7, -12, 5, -11, 10, -9}"
12a_0239,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 7, -4, 8, -9, 10, -11, 12, -6, 5, -12, 11, -10, 9, -8}"
12a_0248,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 11, -8, 7, -6, 5, -9, 12, -11, 10, -12}"
12a_0263,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 7, -8, 10, -11, 12, -6, 5, -12, 11, -9}"
12a_0284,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -4, 5, -6, 11, -8, 12, -10, 9, -12, 7, -11}"
12a_0362,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -6, 11, -4, 12, -10, 7, -8, 9, -12, 5, -11}"
12a_0393,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 7, -4, 12, -8, 11, -6, 5, -10, 9, -12}"
12a_0400,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 5, -4, 9, -12, 7, -6, 11, -10, 12, -8}"
12a_0517,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 5, -6, 11, -10, 12, -8, 9, -12, 7, -11}"
12a_0539,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 11, -12, 5, -6, 9, -8, 7, -10, 12, -11}"
12a_0556,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -6, 5, -4, 10, -11, 12, -8, 7, -10, 11, -12}"
12a_0586,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 7, -4, 5, -6, 12, -10, 9, -8, 11, -12}"
12a_0612,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 9, -4, 12, -10, 11, -8, 7, -6, 5, -12}"
12a_0653,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -8, 10, -11, 5, -4, 12, -10, 7, -6, 11, -12}"
12a_0673,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -10, 11, -6, 12, -8, 9, -4, 5, -12, 7, -11}"
12a_0681,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -8, 9, -10, 11, -12, 7, -4, 5, -6, 12, -11}"
12a_0699,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -4, 9, -10, 11, -3, 2, -9, 12, -6, 7, -11, 10, -12, 5, -8}"
12a_0704,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -4, 9, -10, 2, -3, 11, -12, 10, -9, 5, -6, 12, -11, 7, -8}"
12a_0722,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 12, -3, 2, -4, 5, -6, 7, -8, 9, -10, 11, -12}"
12a_0775,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 12, -3, 2, -12, 11, -4, 9, -8, 7, -6, 5, -10}"
12a_0811,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 4, -5, 8, -9, 7, -6, 10, -11, 12, -8, 9, -10, 11, -12}"
12a_0817,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 4, -5, 8, -9, 10, -11, 12, -8, 9, -10, 7, -6, 11, -12}"
12a_0837,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 8, -9, 10, -11, 4, -5, 12, -6, 11, -8, 9, -10, 7, -12}"
12a_0844,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 8, -9, 10, -11, 4, -5, 9, -8, 12, -6, 11, -10, 7, -12}"
12a_0846,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 8, -9, 10, -11, 4, -5, 12, -10, 7, -6, 11, -12, 9, -8}"
12a_0868,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, 10, -8, 11, -6, 12, -10, 4, -9, 2, -11, 7, -12}"
12a_0896,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 11, -5, 12, -6, 2, -9, 10, -11, 4, -8, 7, -12}"
12a_0929,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 4, -11, 12, -5, 10, -9, 2, -6, 7, -8, 11, -12}"
12a_0957,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -11, 12, -6, 2, -5, 9, -8, 7, -12, 11, -10}"
12a_1020,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -5, 9, -3, 10, -11, 7, -6, 12, -10, 4, -9, 2, -12, 11, -8}"
12a_1046,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 2, -6, 11, -5, 4, -12, 9, -8, 7, -10, 12, -11}"
12a_1068,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 4, -11, 12, -5, 2, -10, 9, -8, 11, -12, 7, -6}"
12a_1084,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 10, -11, 12, -8, 7, -5, 4, -10, 11, -12, 9, -6}"
12a_1100,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 10, -11, 12, -6, 9, -10, 4, -5, 11, -8, 7, -12}"
12a_1123,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -5, 2, -9, 10, -3, 4, -11, 12, -10, 9, -6, 7, -12, 11, -8}"
12a_1174,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -5, 10, -11, 12, -8, 2, -3, 9, -10, 11, -12, 7, -6}"
12a_1254,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -3, 4, -5, 11, -12, 2, -8, 9, -10, 6, -11, 12, -7}"
12a_1257,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -3, 11, -5, 6, -12, 2, -10, 9, -8, 4, -11, 12, -7}"
12a_1267,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -3, 4, -11, 12, -7, 6, -5, 2, -10, 9, -8, 11, -12}"
12a_1285,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -11, 12, -5, 6, -7, 2, -3, 4, -12, 11, -8, 9, -10}"
12n_0005,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, 8, -9, -6, 5, -7, 10, -11, -8, 9, 12, -10, 11, -12}"
12n_0013,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, -7, 8, -9, -6, 5, 7, -10, 11, -12, 9, -8, 12, -11, 10}"
12n_0054,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, -7, 8, -9, 10, -5, 6, -11, 12, -10, 7, -8, 9, -12, 11}"
12n_0123,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, 8, 4, -5, -9, 10, -8, 11, -6, 12, -10, 9, -12, 7, -11}"
12n_0128,"{1, -2, 3, -1, -4, 5, 2, -3, 6, -7, 8, 4, -5, -9, 7, -10, 11, -8, 9, -6, 12, -11, 10, -12}"
