name,braid_notation
7_5,"{1,1,1,1,2,-1,2,2}"
8_2,"{1,1,1,1,1,-2,1,-2}"
8_3,"{1,1,2,-1,-3,2,-3,-4,3,-4}"
9_28,"{1,1,-2,1,3,-2,-2,3,3}"
9_29,"{1,-2,-2,3,-2,1,-2,3,-2}"
9_44,"{1,1,1,2,-1,-1,-3,2,-3}"
10_1,"{1,1,2,-1,2,3,-2,3,4,-3,-5,4,-5}"
10_19,"{1,1,1,1,-2,1,-2,-2,-3,2,-3}"
10_36,"{1,1,1,2,-1,2,3,-2,3,-4,3,-4}"
10_60,"{-1,2,-1,2,2,-3,2,-3,-2,-4,3,-4}"
10_64,"{1,1,1,-2,1,1,1,-2,-2,-2}"
10_81,"{1,1,-2,1,3,2,2,-4,-3,-3,-3,-4}"
10_86,"{-1,-1,2,-1,2,-1,2,2,3,-2,3}"
10_101,"{1,1,1,2,-1,3,-2,1,3,2,2,4,-3,4}"
10_109,"{1,1,-2,1,-2,-2,1,1,-2,-2}"
10_130,"{1,1,1,-2,-1,-1,-2,-2,-3,2,-3}"
10_163,"{1,1,-2,-1,-1,3,2,-1,2,2,3}"
11a_34,"{1,1,1,-2,1,-2,3,-2,-2,3,3}"
11a_60,"{1,1,1,1,-2,1,3,2,2,-4,3,-4}"
11a_66,"{-1,-1,-1,2,-1,2,2,-1,-3,2,-3}"
11a_72,"{1,1,-2,1,-2,3,-2,-2,3,-2,3}"
11a_89,"{-1,2,-1,2,2,2,3,-2,3,-4,3,-4}"
11a_121,"{-1,2,-1,-3,2,-3,4,-3,-5,4,-5}"
11a_135,"{-1,2,-1,2,-3,2,-1,2,3,-4,3,-4}"
11a_158,"{1,1,-2,-2,3,-2,-2,1,-2,3,-2}"
11a_163,"{-1,2,-1,-3,2,2,-1,2,2,2,-3}"
11a_190,"{1,1,-2,1,-2,-2,3,-2,3,4,-3,4}"
11a_200,"{1,1,1,2,-1,2,2,3,-2,-2,4,-3,2,4,4,3}"
11a_207,"{-1,-1,-2,1,-2,-2,-2,3,-2,-4,3,-4}"
11a_212,"{1,1,1,2,-1,3,2,2,-4,3,3,-2,3,-4}"
11a_220,"{1,1,1,-2,1,3,-2,3,4,-3,4,4}"
11a_230,"{1,1,2,-1,2,3,-2,-4,3,5,-4,5,5}"
11a_250,"{-1,2,2,2,-1,2,-3,2,2,2,-3}"
11a_300,"{-1,-1,2,-1,-3,2,-1,2,-3,2,2}"
11a_312,"{-1,-1,-1,-1,-2,1,3,2,2,-4,-3,2,-3,-4}"
11a_319,"{1,1,2,2,2,-3,2,-1,2,3,3,2,2}"
11a_327,"{1,1,2,-1,-3,-2,1,-2,4,3,-2,3,3,4}"
11a_365,"{1,1,2,-1,2,2,2,2,2,2,3,-2,3}"
11n_6,"{-1,-1,-2,1,-2,-1,3,2,2,-4,3,-4}"
11n_29,"{1,1,2,-1,-1,2,1,-3,2,4,-3,4}"
11n_33,"{1,1,1,-2,-1,-1,3,2,2,-4,3,-4}"
11n_61,"{1,1,1,2,1,1,2,-3,2,-3,-3}"
11n_87,"{-1,-1,-2,1,-2,-1,-3,2,-1,-3,2}"
11n_140,"{-1,-1,-2,1,-2,-3,2,-3,-2,4,-3,2,-3,4}"
11n_155,"{-1,-1,-2,1,3,-2,3,4,3,-2,3,4}"
