name,gauss_notation
9_18,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -7, 6, -5, 8, -9, 4}"
9_19,"{-1, 2, -3, 4, -5, 3, -6, 7, -8, 5, -4, 6, -2, 1, -9, 8, -7, 9}"
9_20,"{1, -2, 3, -4, 5, -6, 2, -7, 8, -1, 9, -5, 6, -9, 4, -3, 7, -8}"
10_17,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -2, 3, -4, 5, -10, 6, -7, 8, -9, 10}"
10_47,"{-1, 2, -3, 4, -5, 6, -7, 1, -2, 3, -4, 5, -8, 9, -10, 8, -6, 7, -9, 10}"
10_149,"{1, -2, -3, 4, 5, -6, 7, -8, -4, 3, 9, -7, 8, -9, 10, -1, 2, -5, 6, -10}"
11a_17,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -5, 4, -8, 9, -7, 6, -10, 11, -9, 8, -11, 10}"
11a_78,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 6, -5, 9, -10, 11, -7, 8, -11, 10}"
11a_130,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 9, -10, 4, -11, 8, -9, 10, -7, 6, -5, 11}"
11a_134,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -7, 6, -10, 4, -5, 10, -11, 8, -9, 11}"
11a_146,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 9, -10, 8, -11, 4, -5, 6, -9, 10, -7, 11}"
11a_178,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 4, -11, 6, -9, 8, -7, 11, -5, 10}"
11a_232,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 4, -9, 10, -2, 3, -11, 6, -5, 9, -10, 11, -7, 8}"
11a_246,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 11, -2, 3, -11, 10, -9, 8, -7, 4, -5, 6}"
11a_288,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -4, 9, -7, 10, -2, 5, -11, 6, -10, 8, -9, 11}"
11a_294,"{-1, 2, -3, 4, -5, 1, -6, 7, -4, 3, -8, 9, -10, 11, -7, 5, -2, 8, -11, 10, -9, 6}"
11a_353,"{-1, 2, -3, 4, -5, 6, -7, 1, -8, 9, -4, 3, -10, 11, -2, 5, -6, 7, -9, 10, -11, 8}"
11n_26,"{-1, 2, -3, 1, 4, -5, -2, 3, -6, 7, -8, -4, 5, 6, -9, 10, -11, 8, -7, 9, -10, 11}"
11n_90,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, 9, -10, -7, 6, -5, 8, 11, -9, 10, -11}"
11n_110,"{-1, 2, -3, 1, -4, 5, 6, -7, 8, 3, -2, 9, -10, 4, -11, -6, 7, -8, -9, 10, -5, 11}"
12a_0058,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -4, 5, -8, 9, -10, 11, -6, 7, -11, 12, -9, 10, -12}"
12a_0075,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -7, 8, -4, 9, -10, 11, -12, 5, -8, 7, -6, 12, -9, 10, -11}"
12a_0083,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 5, -4, 10, -6, 9, -11, 12, -8, 7, -12, 11, -10}"
12a_0273,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 7, -8, 9, -4, 10, -6, 11, -12, 8, -9, 12, -11, 5, -10}"
12a_0349,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -6, 9, -10, 11, -4, 5, -9, 12, -8, 7, -12, 10, -11}"
12a_0397,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 5, -4, 12, -10, 7, -6, 11, -12, 9, -8}"
12a_0474,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -9, 10, -6, 11, -8, 9, -12, 5, -4, 12, -10, 7, -11}"
12a_0480,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 5, -10, 7, -11, 12, -6, 10, -4, 9, -12, 11, -8}"
12a_0542,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 11, -12, 7, -6, 5, -10, 9, -8, 12, -11}"
12a_0553,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -4, 10, -11, 7, -8, 12, -10, 5, -6, 11, -12}"
