name,gauss_notation
11a_11,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -9, 10, -5, 6, -10, 9, -11, 7, -8, 11}"
11a_20,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -5, 4, -8, 9, -10, 11, -7, 6, -11, 8, -9, 10}"
11a_48,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 6, -7, 8, -9, 4, -5, 7, -10, 11, -8, 9, -11, 10}"
11a_83,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 4, -9, 10, -11, 6, -7, 9, -10, 11, -5, 8}"
11a_129,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 9, -10, 4, -11, 8, -9, 10, -5, 6, -7, 11}"
11a_167,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -7, 9, -10, 6, -11, 4, -9, 10, -5, 11}"
12a_0152,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -11, 5, -4, 12, -6, 11, -10, 9, -8, 7, -12}"
12a_0370,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 12, -4, 5, -6, 7, -8, 11, -10, 9, -12}"
12a_0521,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 5, -6, 9, -11, 12, -8, 7, -12, 11, -10}"
12a_0644,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -8, 10, -11, 12, -4, 7, -6, 5, -12, 11, -10}"
12a_0720,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 12, -4, 11, -6, 7, -8, 9, -10, 5, -12}"
12a_0740,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 12, -3, 2, -4, 11, -10, 9, -6, 7, -8, 5, -12}"
12a_0758,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 11, -10, 9, -4, 12, -6, 7, -8, 5, -12}"
12a_1021,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -5, 9, -3, 10, -11, 4, -9, 2, -6, 12, -8, 11, -10, 7, -12}"
12a_1028,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 4, -5, 10, -11, 12, -6, 9, -8, 7, -10, 11, -12}"
12a_1051,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 4, -11, 12, -5, 2, -6, 7, -8, 9, -10, 11, -12}"
12a_1107,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 4, -11, 12, -8, 9, -10, 2, -5, 11, -12, 7, -6}"
12a_1159,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -11, 12, -5, 4, -3, 2, -6, 11, -8, 9, -10, 7, -12}"
12n_0325,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -6, 9, -4, -10, 11, -12, -8, 7, -9, 5, 12, -11, 10}"
12n_0384,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, -8, 9, 7, -4, 10, -11, 12, -6, 5, -12, -9, 8, 11, -10}"
12n_0427,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, -8, 9, 7, -4, 10, -11, -9, 8, 12, -10, 5, -6, 11, -12}"
12n_0589,"{1, -2, 3, -1, 4, -5, -6, 7, 8, -9, 2, -3, 10, 6, -11, -8, 9, -4, 12, -10, -7, 11, 5, -12}"
12n_0711,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -5, -10, 11, -12, -6, 7, -8, 2, -9, 4, 12, -11, 10}"
12n_0816,"{1, -2, 3, 4, -5, -1, 6, -7, 8, -3, 2, -6, 9, -10, 11, -8, 7, -12, 10, 5, -4, -11, 12, -9}"
12n_0834,"{1, 2, -3, -4, 5, -1, 6, -7, -2, 3, 8, -9, 10, -11, 12, -8, 7, -6, 9, -12, 4, -5, 11, -10}"
