name,gauss_notation
11a_30,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 7, -8, 4, -9, 10, -5, 8, -7, 6, -11, 9, -10, 11}"
11a_189,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 4, -11, 6, -9, 10, -5, 11, -7, 8}"
11a_272,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -9, 5, -10, 11, -4, 9, -2, 8, -11, 10, -7, 6}"
11a_303,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -4, 9, -7, 10, -11, 8, -9, 5, -2, 11, -10, 6}"
11a_328,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 3, -10, 11, -7, 6, -2, 5, -9, 10, -11, 8}"
12a_0022,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -4, 7, -8, 9, -10, 11, -6, 5, -7, 12, -11, 10, -9, 8, -12}"
12a_0078,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 10, -4, 5, -6, 7, -8, 11, -12, 9, -10, 12, -11}"
12a_0109,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -9, 5, -4, 10, -11, 9, -8, 7, -6, 12, -10, 11, -12}"
12a_0123,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -4, 5, -7, 10, -11, 12, -9, 8, -10, 11, -12}"
12a_0238,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 7, -4, 8, -9, 10, -11, 12, -6, 5, -12, 11, -8, 9, -10}"
12a_0437,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 7, -6, 10, -11, 12, -4, 5, -12, 11, -10, 9, -8}"
12a_0440,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 7, -8, 9, -10, 11, -6, 12, -4, 8, -9, 10, -11, 5, -12}"
12a_0453,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -8, 9, -10, 11, -12, 7, -4, 5, -6, 12, -9, 10, -11}"
12a_0550,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -4, 9, -11, 12, -8, 7, -6, 5, -12, 11, -10}"
12a_0632,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 9, -10, 11, -6, 5, -4, 12, -8, 10, -11, 7, -12}"
12a_0816,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 4, -5, 8, -9, 10, -11, 12, -6, 7, -8, 11, -10, 9, -12}"
12a_0860,"{1, -2, 3, -4, 5, -1, 6, -3, 4, -7, 8, -9, 10, -11, 12, -6, 2, -5, 7, -8, 11, -10, 9, -12}"
12a_1024,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 4, -5, 2, -6, 11, -12, 9, -8, 7, -10, 12, -11}"
12a_1204,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -5, 10, -11, 12, -6, 7, -8, 2, -3, 9, -12, 11, -10}"
12a_1275,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -11, 12, -3, 6, -5, 4, -7, 2, -8, 11, -10, 9, -12}"
12n_0763,"{1, -2, -3, 4, 5, -1, 6, -7, 8, 3, -4, -9, 10, -6, 2, -5, 11, -12, 9, -8, 7, -10, 12, -11}"
12n_0859,"{1, -2, -3, 4, 5, -1, 6, -7, 8, -9, -4, 3, 10, -11, 7, -5, 2, -12, 11, -8, 9, -10, 12, -6}"
12n_0885,"{1, -2, 3, -4, 5, -1, 6, -7, 2, -8, 4, 9, -10, 11, 7, -6, 12, -5, 8, -3, -11, 10, -9, -12}"
