Name,Gauss Notation,Overstrand List,Sign List,Color List,Dihedral Linking Number
9_40,"{1, -2, 3, -4, 5, -6, 2, -7, 8, -5, 9, -3, 7, -1, 6, -9, 4, -8}","[3, 8, 7, 6, 2, 1, 0, 5, 4, 9]","[1, 1, -1, 1, 1, -1, 1, 1, -1, 1]","[[5, 4, 3, 2, 3, 3, 5, 5, 1, 5], [5, 3, 1, 4, 1, 1, 5, 5, 2, 5], [3, 4, 1, 1, 4, 3, 5, 1, 5, 3], [3, 3, 4, 3, 2, 1, 5, 1, 1, 3], [3, 2, 2, 5, 5, 4, 5, 1, 2, 3], [3, 1, 5, 2, 3, 2, 5, 1, 3, 3], [3, 5, 3, 4, 1, 5, 5, 1, 4, 3], [1, 3, 2, 2, 3, 1, 5, 2, 5, 1], [1, 2, 5, 4, 1, 4, 5, 2, 1, 1], [1, 1, 3, 1, 4, 2, 5, 2, 2, 1], [1, 5, 1, 3, 2, 5, 5, 2, 3, 1], [1, 4, 4, 5, 5, 3, 5, 2, 4, 1]]"
9_49,"{1, -2, -3, 4, -5, 6, 2, -7, -8, 9, -4, 3, 7, -1, -6, 5, -9, 8}","[3, 6, 8, 6, 0, 2, 0, 3, 5, 9]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[5, 1, 4, 3, 2, 3, 5, 5, 1, 5], [5, 2, 3, 1, 4, 1, 5, 5, 2, 5], [3, 3, 2, 3, 2, 4, 5, 1, 5, 3], [3, 4, 1, 1, 4, 2, 5, 1, 1, 3], [3, 5, 5, 4, 1, 5, 5, 1, 2, 3], [3, 1, 4, 2, 3, 3, 5, 1, 3, 3], [3, 2, 3, 5, 5, 1, 5, 1, 4, 3], [1, 1, 4, 1, 4, 3, 5, 2, 5, 1], [1, 2, 3, 4, 1, 1, 5, 2, 1, 1], [1, 3, 2, 2, 3, 4, 5, 2, 2, 1], [1, 4, 1, 5, 5, 2, 5, 2, 3, 1], [1, 5, 5, 3, 2, 5, 5, 2, 4, 1]]"
10_3,"{-1, 2, -3, 4, -5, 6, -7, 3, -2, 1, -8, 9, -10, 7, -6, 5, -4, 10, -9, 8}","[5, 4, 8, 7, 1, 0, 9, 3, 2, 6]","[-1, -1, 1, 1, -1, -1, -1, 1, 1, -1]","[[5, 4, 3, 2, 1, 2, 3, 4, 5, 1], [5, 3, 1, 4, 2, 4, 1, 3, 5, 2]]"
10_10,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -1, 2, -9, 10, -7, 6, -5, 4, -3, 8, -10}","[5, 8, 7, 9, 0, 4, 3, 2, 1, 6]","[1, -1, -1, -1, 1, 1, -1, -1, -1, -1]","[[5, 3, 2, 1, 1, 4, 3, 4, 5, 1], [5, 1, 4, 2, 2, 3, 1, 3, 5, 2]]"
10_18,"{-1, 2, -3, 4, -5, 6, -7, 8, -4, 9, -10, 1, -2, 10, -8, 7, -6, 5, -9, 3}","[6, 0, 9, 8, 2, 7, 1, 4, 3, 5]","[-1, -1, 1, 1, -1, -1, -1, 1, 1, -1]","[[1, 3, 4, 3, 2, 1, 2, 4, 5, 1], [2, 1, 3, 1, 4, 2, 4, 3, 5, 2]]"
10_20,"{-1, 2, -3, 4, -5, 3, -2, 1, -6, 7, -8, 9, -10, 5, -4, 10, -7, 8, -9, 6}","[4, 3, 7, 1, 0, 9, 8, 2, 5, 6]","[-1, -1, 1, -1, -1, -1, -1, 1, -1, -1]","[[2, 5, 3, 4, 1, 3, 4, 1, 5, 1], [4, 5, 1, 3, 2, 1, 3, 2, 5, 2]]"
10_21,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -7, 10, -3, 2, -1, 4, -5, 6, -9, 8, -10}","[6, 7, 8, 9, 3, 1, 0, 2, 4, 5]","[1, 1, 1, -1, 1, 1, 1, 1, -1, 1]","[[4, 3, 1, 4, 3, 5, 1, 2, 5, 1], [3, 1, 2, 3, 1, 5, 2, 4, 5, 2]]"
10_24,"{-1, 2, -3, 4, -5, 6, -7, 5, -4, 3, -8, 9, -2, 1, -10, 7, -6, 8, -9, 10}","[7, 5, 4, 8, 2, 9, 1, 0, 3, 6]","[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1]","[[3, 4, 1, 3, 2, 5, 2, 1, 5, 1], [1, 3, 2, 1, 4, 5, 4, 2, 5, 2]]"
10_25,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -1, 4, -5, 6, -3, 2, -10, 8, -7, 10, -9}","[7, 5, 6, 8, 0, 2, 1, 9, 3, 4]","[1, 1, 1, -1, 1, 1, 1, 1, -1, 1]","[[3, 1, 2, 3, 2, 4, 5, 2, 5, 1], [1, 2, 4, 1, 4, 3, 5, 4, 5, 2]]"
10_33,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 3, -2, 5, -10, 6, -9, 8, -7, 10}","[3, 6, 7, 8, 9, 2, 1, 0, 5, 4]","[-1, -1, -1, 1, 1, -1, -1, 1, 1, 1]","[[2, 5, 2, 1, 4, 3, 1, 4, 5, 1], [4, 5, 4, 2, 3, 1, 2, 3, 5, 2]]"
